id,level,name,gregorian_time,lunar_time,season,sort_order,description,knowledge_json
月份-07,月份,7月,7月1日-7月31日,,夏,207,,"[""7月的应季水果共 11 种：西瓜、荔枝、水蜜桃、哈密瓜、榴莲、杨梅、龙眼、黄皮、葡萄、无花果、百香果。"",""7月的应季蔬菜共 13 种：黄瓜、番茄、冬瓜、丝瓜、苦瓜、茄子、豇豆、扁豆、空心菜、毛豆、辣椒、土豆、卷心菜。""]"
月份-08,月份,8月,8月1日-8月31日,,夏,208,,"[""8月的应季水果共 9 种：西瓜、水蜜桃、哈密瓜、榴莲、葡萄、石榴、梨（早熟）、冬枣、龙眼。"",""8月的应季蔬菜共 13 种：冬瓜、丝瓜、苦瓜、茄子、豇豆、扁豆、空心菜、毛豆、辣椒、南瓜、土豆、卷心菜、青菜。""]"
月份-09,月份,9月,9月1日-9月30日,,秋,209,,"[""9月的应季水果共 8 种：葡萄、石榴、梨、哈密瓜、柚子、柿子、山楂、冬枣。"",""9月的应季蔬菜共 14 种：冬瓜、丝瓜、毛豆、豇豆、茄子、辣椒、芋头、茭白、莲藕、山药、秋葵、白萝卜、大白菜、卷心菜。""]"
月份-10,月份,10月,10月1日-10月31日,,秋,210,,"[""10月的应季水果共 10 种：苹果、梨、石榴、柿子、葡萄（晚熟）、猕猴桃、柑橘、橙子、甘蔗、冬枣（尾季）。"",""10月的应季蔬菜共 13 种：大白菜、白萝卜、芋头、茭白、莲藕、山药、花菜、西兰花、生菜、菠菜、芹菜、卷心菜、茼蒿。""]"
月份-11,月份,11月,11月1日-11月30日,,秋,211,,"[""11月的应季水果共 11 种：苹果、梨、柚子、柿子、山楂、猕猴桃、甘蔗、脐橙、皇帝柑、草莓（大棚初上市）、荸荠。"",""11月的应季蔬菜共 13 种：大白菜、白萝卜、莴笋、花菜、西兰花、荠菜、草头、生菜、茨菇、青蒜、菠菜、芹菜、卷心菜。""]"
月份-12,月份,12月,12月1日-12月31日,,冬,212,,"[""12月的应季水果共 10 种：砂糖橘、沃柑、赣南脐橙、猕猴桃、山楂、甘蔗、草莓（大棚）、车厘子（进口）、金桔、释迦。"",""12月的应季蔬菜共 11 种：大白菜、白萝卜、塌菜、荠菜、茨菇、花菜、菠菜、芹菜、卷心菜、香菇、胡萝卜。""]"
节气-立春,节气,立春,2月3-5日,,春,301,万物蠢动,"[""立春（2月3-5日）的应季食材共 4 种：洋葱、芹菜、樱桃、草莓。万物蠢动"",""立春（2月3-5日）的食俗：立春吃春卷。""]"
节气-雨水,节气,雨水,2月18-20日,,春,302,春雨绵绵,"[""雨水（2月18-20日）的应季食材共 4 种：红枣、燕麦、韭菜、豆豉。春雨绵绵"",""雨水（2月18-20日）的食俗：雨水吃龙须饼。""]"
节气-惊蛰,节气,惊蛰,3月5-7日,,春,303,初雷乍响,"[""惊蛰（3月5-7日）的应季食材共 4 种：胡萝卜、菜花、小白菜、开心果。初雷乍响"",""惊蛰（3月5-7日）的食俗：惊蛰吃驴打滚。""]"
节气-春分,节气,春分,3月20-22日,,春,304,昼夜对分,"[""春分（3月20-22日）的应季食材共 4 种：菠菜、荠菜、豌豆、蚕豆。昼夜对分"",""春分（3月20-22日）的食俗：春分吃春菜。""]"
节气-清明,节气,清明,4月4-6日,,春,305,草木萌生,"[""清明（4月4-6日）的应季食材共 4 种：小米、香蕉、菊花、蒜薹。草木萌生"",""清明（4月4-6日）的食俗：清明吃青团。""]"
节气-谷雨,节气,谷雨,4月19-21日,,春,306,雨养百谷,"[""谷雨（4月19-21日）的应季食材共 4 种：香椿、番茄、竹笋、小麦。雨养百谷"",""谷雨（4月19-21日）的食俗：谷雨采茶食香椿。""]"
节气-立夏,节气,立夏,5月5-7日,,夏,307,夏夜渐暖,"[""立夏（5月5-7日）的应季食材共 4 种：莴笋、薏米、椰子、空心菜。夏夜渐暖"",""立夏（5月5-7日）的食俗：立夏吃鸭蛋。""]"
节气-小满,节气,小满,5月20-22日,,夏,308,谷粒饱满,"[""小满（5月20-22日）的应季食材共 4 种：苋菜、青椒、桑葚、绿豆。谷粒饱满"",""小满（5月20-22日）的食俗：小满吃苦菜。""]"
节气-芒种,节气,芒种,6月5-7日,,夏,309,结实成穗,"[""芒种（6月5-7日）的应季食材共 5 种：玉米、黄瓜、豇豆、高粱、乌梅。结实成穗"",""芒种（6月5-7日）的食俗：芒种吃梅子。""]"
节气-夏至,节气,夏至,6月21-22日,,夏,310,晕晕沉沉,"[""夏至（6月21-22日）的应季食材共 5 种：冬瓜、莲子、芒果、菠萝、榴莲。晕晕沉沉"",""夏至（6月21-22日）的食俗：夏至吃面。""]"
节气-小暑,节气,小暑,7月6-8日,,夏,311,暑气逼人,"[""小暑（7月6-8日）的应季食材共 5 种：南瓜、丝瓜、黄花菜、桃子、鳝鱼。暑气逼人"",""小暑（7月6-8日）的食俗：小暑食新米。""]"
节气-大暑,节气,大暑,7月22-24日,,夏,312,酷热高峰,"[""大暑（7月22-24日）的应季食材共 4 种：苦瓜、荔枝、西瓜、鸭肉。酷热高峰"",""大暑（7月22-24日）的食俗：大暑吃仙草。""]"
节气-立秋,节气,立秋,8月7-9日,,秋,313,暖凉之交,"[""立秋（8月7-9日）的应季食材共 5 种：茄子、红薯、梨、柠檬、哈密瓜。暖凉之交"",""立秋（8月7-9日）的食俗：立秋啃西瓜。""]"
节气-处暑,节气,处暑,8月22-24日,,秋,314,热气终止,"[""处暑（8月22-24日）的应季食材共 4 种：牛奶、甘蔗、龙眼、银耳。热气终止"",""处暑（8月22-24日）的食俗：处暑吃鸭子。""]"
节气-白露,节气,白露,9月7-9日,,秋,315,露珠凝结,"[""白露（9月7-9日）的应季食材共 4 种：大米、木瓜、葡萄、柚子。露珠凝结"",""白露（9月7-9日）的食俗：白露饮米酒。""]"
节气-秋分,节气,秋分,9月22-24日,,秋,316,步入深秋,"[""秋分（9月22-24日）的应季食材共 5 种：芋头、山药、莲藕、香菇、芝麻。步入深秋"",""秋分（9月22-24日）的食俗：秋分吃芋饼。""]"
节气-寒露,节气,寒露,10月8-9日,,秋,317,寒意沁心,"[""寒露（10月8-9日）的应季食材共 5 种：杏仁、猕猴桃、覆盆子、秀珍菇、草虾。寒意沁心"",""寒露（10月8-9日）的食俗：寒露吃芝麻。""]"
节气-霜降,节气,霜降,10月23-24日,,秋,318,雾气结霜,"[""霜降（10月23-24日）的应季食材共 5 种：柿子、苹果、黄豆、蜂蜜、百合。雾气结霜"",""霜降（10月23-24日）的食俗：霜降吃柿子。""]"
节气-立冬,节气,立冬,11月7-8日,,冬,319,收割贮藏,"[""立冬（11月7-8日）的应季食材共 4 种：紫米、海参、栗子、松子。收割贮藏"",""立冬（11月7-8日）的食俗：立冬喝鸡汤。""]"
节气-小雪,节气,小雪,11月22-23日,,冬,320,阴冷晦暗,"[""小雪（11月22-23日）的应季食材共 4 种：芥菜、荸荠、木耳、核桃。阴冷晦暗"",""小雪（11月22-23日）的食俗：小雪吃腊肉。""]"
节气-大雪,节气,大雪,12月6-8日,,冬,321,冷若雪团,"[""大雪（12月6-8日）的应季食材共 4 种：白萝卜、橄榄、橘子、牛肉。冷若雪团"",""大雪（12月6-8日）的食俗：大雪喝粥。""]"
节气-冬至,节气,冬至,12月21-23日,,冬,322,阴阳交替,"[""冬至（12月21-23日）的应季食材共 4 种：黑米、茼蒿、大白菜、橙子。阴阳交替"",""冬至（12月21-23日）的食俗：冬至吃饺子。""]"
节气-小寒,节气,小寒,1月5-7日,,冬,323,寒邪入侵,"[""小寒（1月5-7日）的应季食材共 4 种：葵花籽、黑豆、鲫鱼、羊肉。寒邪入侵"",""小寒（1月5-7日）的食俗：小寒喝腊八粥。""]"
节气-大寒,节气,大寒,1月20-21日,,冬,324,养精蓄锐,"[""大寒（1月20-21日）的应季食材共 4 种：葱、四季豆、土豆、红豆。养精蓄锐"",""大寒（1月20-21日）的食俗：大寒吃年糕。""]"
节日-春节,节日,春节,,农历正月初一,春,401,年夜团圆饭，吃饺子、年糕、鱼,"[""春节（农历正月初一）：年夜团圆饭，吃饺子、年糕、鱼。传统食品有：饺子、年糕、鱼。""]"
节日-元宵节,节日,元宵节,,农历正月十五,春,402,吃汤圆、元宵，赏花灯,"[""元宵节（农历正月十五）：吃汤圆、元宵，赏花灯。传统食品有：汤圆、元宵。""]"
节日-龙抬头,节日,龙抬头,,农历二月初二,春,403,吃春饼、猪头肉、龙须面,"[""龙抬头（农历二月初二）：吃春饼、猪头肉、龙须面。传统食品有：春饼、猪头肉、龙须面。""]"
节日-寒食节,节日,寒食节,,清明前1-2日,春,404,禁火吃冷食，江南吃青团,"[""寒食节（清明前1-2日）：禁火吃冷食，江南吃青团。传统食品有：青团。""]"
节日-端午节,节日,端午节,,农历五月初五,夏,405,吃粽子，挂艾草、菖蒲,"[""端午节（农历五月初五）：吃粽子，挂艾草、菖蒲。传统食品有：粽子、艾草。""]"
节日-七夕节,节日,七夕节,,农历七月初七,秋,406,吃巧果、面食,"[""七夕节（农历七月初七）：吃巧果、面食。传统食品有：巧果、面食。""]"
节日-中元节,节日,中元节,,农历七月十五,秋,407,吃鸭子,"[""中元节（农历七月十五）：吃鸭子。传统食品有：鸭子。""]"
节日-中秋节,节日,中秋节,,农历八月十五,秋,408,吃月饼、螃蟹、芋头，饮桂花酒,"[""中秋节（农历八月十五）：吃月饼、螃蟹、芋头，饮桂花酒。传统食品有：月饼、螃蟹、芋头、桂花。""]"
节日-重阳节,节日,重阳节,,农历九月初九,秋,409,登高，饮菊花酒，吃重阳糕,"[""重阳节（农历九月初九）：登高，饮菊花酒，吃重阳糕。传统食品有：菊花、重阳糕。""]"
节日-腊八节,节日,腊八节,,农历腊月初八,冬,410,喝腊八粥，腌腊八蒜,"[""腊八节（农历腊月初八）：喝腊八粥，腌腊八蒜。传统食品有：腊八粥、腊八蒜。""]"
节日-小年,节日,小年,,农历腊月廿三,冬,411,祭灶，吃糖瓜、饺子,"[""小年（农历腊月廿三）：祭灶，吃糖瓜、饺子。传统食品有：糖瓜、饺子。""]"
节日-除夕,节日,除夕,,农历腊月最后一天,冬,412,年夜饭，吃饺子、鱼、年糕,"[""除夕（农历腊月最后一天）：年夜饭，吃饺子、鱼、年糕。传统食品有：饺子、鱼、年糕。""]"
