old_id,old_name,action,new_id,new_name,reason
84,罗勒,KEEP,51,罗勒,符合基础原生食材定义
85,蔓越莓干,DROP,,,成品、半成品或加工食品
86,蛋清,KEEP,52,蛋清,符合基础原生食材定义
87,西兰花,KEEP,53,西兰花,符合基础原生食材定义
88,午餐肉,DROP,,,加工肉制品
89,红豆,KEEP,54,红豆,符合基础原生食材定义
90,蓝莓,KEEP,55,蓝莓,符合基础原生食材定义
91,奥利奥,DROP,,,不属于指南允许的基础原生食材类别
92,黑巧克力,DROP,,,烘焙或乳制加工食品
93,榨菜,DROP,,,不属于指南允许的基础原生食材类别
94,啤酒,DROP,,,调味料不进入基础原生食材表
95,苹果,KEEP,56,苹果,符合基础原生食材定义
96,奶油奶酪,DROP,,,烘焙或乳制加工食品
97,枸杞,KEEP,57,枸杞,符合基础原生食材定义
98,羊肉,KEEP,58,羊肉,符合基础原生食材定义
99,吐司,DROP,,,烘焙或乳制加工食品
100,面包糠,DROP,,,烘焙或乳制加工食品
101,马苏里拉奶酪,DROP,,,烘焙或乳制加工食品
102,萝卜,KEEP,59,萝卜,符合基础原生食材定义
103,椰蓉,DROP,,,不属于指南允许的基础原生食材类别
104,奥利奥饼干,DROP,,,烘焙或乳制加工食品
105,蘑菇,REVIEW,,,名称过于宽泛或形态含义不明确，禁止猜测映射
106,豌豆,KEEP,60,豌豆,符合基础原生食材定义
107,泡椒,DROP,,,成品、半成品或加工食品
108,香蕉,KEEP,61,香蕉,符合基础原生食材定义
109,欧芹,KEEP,62,欧芹,符合基础原生食材定义
110,肉松,DROP,,,加工肉制品
111,面条,DROP,,,成品、半成品或加工食品
112,粉丝,DROP,,,豆制品或淀粉制品（严格模式排除）
113,红茶,DROP,,,饮料、酒类或乳制品不属于本版核心原生食材
114,白萝卜,KEEP,63,白萝卜,符合基础原生食材定义
115,糯米,KEEP,64,糯米,符合基础原生食材定义
116,米粉,DROP,,,成品、半成品或加工食品
117,迷迭香,DROP,,,调味料不进入基础原生食材表
118,青豆,KEEP,65,青豆,符合基础原生食材定义
119,肥牛,KEEP,66,肥牛,符合基础原生食材定义
120,戚风蛋糕,DROP,,,烘焙或乳制加工食品
121,红酒,DROP,,,调味料不进入基础原生食材表
122,红曲粉,DROP,,,不属于指南允许的基础原生食材类别
123,鸡汤,REVIEW,,,可能是原生食材，但频次、命名或类别证据不足
124,菠萝,KEEP,67,菠萝,符合基础原生食材定义
125,葱姜,SPLIT,1|3,葱|姜,明确包含多个独立食材；关系保守保留原文，克数不拆分
126,玉米面,REVIEW,,,可能是原生食材，但频次、命名或类别证据不足
127,腊肠,DROP,,,成品、半成品或加工食品
128,海带,KEEP,68,海带,符合基础原生食材定义
129,西葫芦,KEEP,69,西葫芦,符合基础原生食材定义
130,百里香,DROP,,,调味料不进入基础原生食材表
131,巧克力豆,DROP,,,烘焙或乳制加工食品
132,娃娃菜,KEEP,70,娃娃菜,符合基础原生食材定义
133,鸡翅,KEEP,71,鸡翅,符合基础原生食材定义
134,蛋黄,KEEP,72,蛋黄,符合基础原生食材定义
135,芋头,KEEP,73,芋头,符合基础原生食材定义
136,彩椒,KEEP,74,彩椒,符合基础原生食材定义
137,腊肉,DROP,,,加工肉制品
138,紫菜,KEEP,75,紫菜,符合基础原生食材定义
139,虾米,DROP,,,成品、半成品或加工食品
140,白葡萄酒,DROP,,,调味料不进入基础原生食材表
141,卷心菜,KEEP,76,卷心菜,符合基础原生食材定义
142,罗勒叶,MERGE,51,罗勒,明确别名或规范名统一
143,核桃仁,KEEP,77,核桃仁,符合基础原生食材定义
144,鱿鱼,KEEP,78,鱿鱼,符合基础原生食材定义
145,蛋糕,DROP,,,烘焙或乳制加工食品
146,草鱼,KEEP,79,草鱼,符合基础原生食材定义
147,豆沙,DROP,,,成品、半成品或加工食品
148,豆浆,DROP,,,成品、半成品或加工食品
149,泡菜,DROP,,,成品、半成品或加工食品
150,老豆腐,DROP,,,豆制品或淀粉制品（严格模式排除）
151,饼干,DROP,,,烘焙或乳制加工食品
152,香草,REVIEW,,,名称过于宽泛或形态含义不明确，禁止猜测映射
153,蒜苗,KEEP,80,蒜苗,符合基础原生食材定义
154,牛腩,KEEP,82,牛腩,符合基础原生食材定义
155,杏鲍菇,KEEP,83,杏鲍菇,符合基础原生食材定义
156,西芹,KEEP,81,西芹,符合基础原生食材定义
157,木薯粉,REVIEW,,,可能是原生食材，但频次、命名或类别证据不足
158,豆角,KEEP,84,豆角,符合基础原生食材定义
159,干贝,DROP,,,成品、半成品或加工食品
160,肉桂粉,DROP,,,调味料不进入基础原生食材表
161,年糕,DROP,,,成品、半成品或加工食品
162,全脂牛奶,DROP,,,饮料、酒类或乳制品不属于本版核心原生食材
163,挂面,REVIEW,,,可能是原生食材，但频次、命名或类别证据不足
164,虾皮,DROP,,,成品、半成品或加工食品
165,山药,KEEP,85,山药,符合基础原生食材定义
166,三文鱼,KEEP,86,三文鱼,符合基础原生食材定义
167,玉米粉,DROP,,,成品、半成品或加工食品
168,剁椒,DROP,,,成品、半成品或加工食品
169,麻椒,DROP,,,调味料不进入基础原生食材表
170,黄豆,KEEP,87,黄豆,符合基础原生食材定义
171,红豆沙,DROP,,,成品、半成品或加工食品
172,花蛤,KEEP,88,花蛤,符合基础原生食材定义
173,腰果,KEEP,89,腰果,符合基础原生食材定义
174,米辣,KEEP,91,米辣,符合基础原生食材定义
175,牛油果,KEEP,90,牛油果,符合基础原生食材定义
176,豆芽,KEEP,92,豆芽,符合基础原生食材定义
177,蔬菜,REVIEW,,,名称过于宽泛或形态含义不明确，禁止猜测映射
178,雪碧,DROP,,,不属于指南允许的基础原生食材类别
179,炼奶,DROP,,,饮料、酒类或乳制品不属于本版核心原生食材
180,番茄沙司,DROP,,,成品、半成品或加工食品
181,绿豆,KEEP,94,绿豆,符合基础原生食材定义
182,干香菇,KEEP,93,干香菇,符合基础原生食材定义
183,杏仁粉,REVIEW,,,可能是原生食材，但频次、命名或类别证据不足
184,饺子皮,DROP,,,成品、半成品或加工食品
185,白巧克力,DROP,,,烘焙或乳制加工食品
186,辣白菜,DROP,,,不属于指南允许的基础原生食材类别
187,高筋粉,DROP,,,不属于指南允许的基础原生食材类别
188,马苏里拉,DROP,,,不属于指南允许的基础原生食材类别
189,莲藕,KEEP,96,莲藕,符合基础原生食材定义
190,朝天椒,KEEP,95,朝天椒,符合基础原生食材定义
191,即食燕麦,DROP,,,成品、半成品或加工食品
192,杏仁奶,DROP,,,饮料、酒类或乳制品不属于本版核心原生食材
193,豆沙馅,DROP,,,成品、半成品或加工食品
194,青红椒,SPLIT,11|49,青椒|红椒,明确包含多个独立食材；关系保守保留原文，克数不拆分
195,甜玉米,KEEP,97,甜玉米,符合基础原生食材定义
196,山楂,DROP,,,不属于指南允许的基础原生食材类别
197,嫩豆腐,DROP,,,豆制品或淀粉制品（严格模式排除）
198,薄荷叶,DROP,,,调味料不进入基础原生食材表
199,粘米粉,DROP,,,成品、半成品或加工食品
200,腐竹,DROP,,,豆制品或淀粉制品（严格模式排除）
201,地瓜粉,REVIEW,,,可能是原生食材，但频次、命名或类别证据不足
202,龙利鱼,KEEP,98,龙利鱼,符合基础原生食材定义
203,凉开水,DROP,,,不属于指南允许的基础原生食材类别
204,低筋粉,DROP,,,不属于指南允许的基础原生食材类别
205,圆白菜,MERGE,76,卷心菜,明确别名或规范名统一
206,柠檬皮,DROP,,,不属于指南允许的基础原生食材类别
207,金枪鱼罐头,DROP,,,成品、半成品或加工食品
208,鱼丸,DROP,,,成品、半成品或加工食品
209,黑米,KEEP,102,黑米,符合基础原生食材定义
210,鹌鹑蛋,KEEP,101,鹌鹑蛋,符合基础原生食材定义
211,苏打水,DROP,,,不属于指南允许的基础原生食材类别
212,咖啡粉,DROP,,,饮料、酒类或乳制品不属于本版核心原生食材
213,荞麦面,REVIEW,,,可能是原生食材，但频次、命名或类别证据不足
214,紫甘蓝,KEEP,99,紫甘蓝,符合基础原生食材定义
215,火龙果,KEEP,100,火龙果,符合基础原生食材定义
216,酸菜,DROP,,,成品、半成品或加工食品
217,口蘑,KEEP,103,口蘑,符合基础原生食材定义
218,芝士粉,DROP,,,烘焙或乳制加工食品
219,橙子皮,DROP,,,不属于指南允许的基础原生食材类别
220,芦笋,KEEP,104,芦笋,符合基础原生食材定义
221,油泼辣子,DROP,,,不属于指南允许的基础原生食材类别
222,鸡翅根,KEEP,105,鸡翅根,符合基础原生食材定义
223,萝卜干,DROP,,,成品、半成品或加工食品
224,魔芋,REVIEW,,,名称过于宽泛或形态含义不明确，禁止猜测映射
225,粉条,DROP,,,豆制品或淀粉制品（严格模式排除）
226,银耳,KEEP,107,银耳,符合基础原生食材定义
227,熟芝麻,DROP,,,成品、半成品或加工食品
228,海绵蛋糕,DROP,,,烘焙或乳制加工食品
229,香芹,KEEP,106,香芹,符合基础原生食材定义
230,牛肉丸,DROP,,,成品、半成品或加工食品
231,椰子粉,REVIEW,,,可能是原生食材，但频次、命名或类别证据不足
232,希腊酸奶,DROP,,,饮料、酒类或乳制品不属于本版核心原生食材
233,西米,DROP,,,成品、半成品或加工食品
234,荷兰豆,KEEP,109,荷兰豆,符合基础原生食材定义
235,冬瓜,KEEP,108,冬瓜,符合基础原生食材定义
236,咖啡,DROP,,,饮料、酒类或乳制品不属于本版核心原生食材
237,绿茶,DROP,,,饮料、酒类或乳制品不属于本版核心原生食材
238,茄子,KEEP,110,茄子,符合基础原生食材定义
239,咸蛋黄,DROP,,,成品、半成品或加工食品
240,瑶柱,DROP,,,不属于指南允许的基础原生食材类别
241,消化饼干,DROP,,,烘焙或乳制加工食品
242,豆奶,DROP,,,成品、半成品或加工食品
243,郫县豆瓣,REVIEW,,,形态描述存在，但原始食材无法确定
244,鸡爪,KEEP,112,鸡爪,符合基础原生食材定义
245,熟白芝麻,DROP,,,成品、半成品或加工食品
246,青辣椒,KEEP,111,青辣椒,符合基础原生食材定义
247,水果,REVIEW,,,名称过于宽泛或形态含义不明确，禁止猜测映射
248,肉馅,REVIEW,,,名称过于宽泛或形态含义不明确，禁止猜测映射
249,梅干菜,DROP,,,成品、半成品或加工食品
250,鳕鱼,KEEP,113,鳕鱼,符合基础原生食材定义
251,肉丸,DROP,,,成品、半成品或加工食品
252,香粉,DROP,,,不属于指南允许的基础原生食材类别
253,鲜菇粉,REVIEW,,,可能是原生食材，但频次、命名或类别证据不足
254,肉丝,REVIEW,,,形态描述存在，但原始食材无法确定
255,奇亚籽,DROP,,,不属于指南允许的基础原生食材类别
256,手指饼干,DROP,,,烘焙或乳制加工食品
257,全蛋液,REVIEW,,,名称过于宽泛或形态含义不明确，禁止猜测映射
258,红葱头,KEEP,114,红葱头,符合基础原生食材定义
259,包菜,MERGE,76,卷心菜,明确别名或规范名统一
260,虫草,DROP,,,不属于指南允许的基础原生食材类别
261,青蒜,KEEP,115,青蒜,符合基础原生食材定义
262,栗子,KEEP,116,栗子,符合基础原生食材定义
263,油豆腐,DROP,,,豆制品或淀粉制品（严格模式排除）
264,平菇,KEEP,118,平菇,符合基础原生食材定义
265,茶叶,DROP,,,饮料、酒类或乳制品不属于本版核心原生食材
266,薄荷,KEEP,117,薄荷,符合基础原生食材定义
267,咸肉,DROP,,,成品、半成品或加工食品
268,鹰嘴豆,KEEP,119,鹰嘴豆,符合基础原生食材定义
269,金枪鱼,KEEP,121,金枪鱼,符合基础原生食材定义
270,鱼豆腐,DROP,,,豆制品或淀粉制品（严格模式排除）
271,鲜虾,MERGE,583,虾,明确别名或规范名统一
272,莲子,KEEP,122,莲子,符合基础原生食材定义
273,百香果,KEEP,120,百香果,符合基础原生食材定义
274,木鱼,REVIEW,,,名称过于宽泛或形态含义不明确，禁止猜测映射
275,麦片,REVIEW,,,形态描述存在，但原始食材无法确定
276,葱白,MERGE,1,葱,明确别名或规范名统一
277,咸菜,DROP,,,成品、半成品或加工食品
278,小米,KEEP,127,小米,符合基础原生食材定义
279,鲫鱼,KEEP,126,鲫鱼,符合基础原生食材定义
280,黑芝麻粉,REVIEW,,,可能是原生食材，但频次、命名或类别证据不足
281,薏米,KEEP,128,薏米,符合基础原生食材定义
282,葡萄,KEEP,124,葡萄,符合基础原生食材定义
283,蜜红豆,DROP,,,成品、半成品或加工食品
284,杭椒,KEEP,123,杭椒,符合基础原生食材定义
285,猪骨,KEEP,125,猪骨,符合基础原生食材定义
286,蛋挞皮,DROP,,,成品、半成品或加工食品
287,蟹味菇,KEEP,133,蟹味菇,符合基础原生食材定义
288,苏打,DROP,,,不属于指南允许的基础原生食材类别
289,猪肉馅,REVIEW,,,可能是原生食材，但频次、命名或类别证据不足
290,酒酿,DROP,,,不属于指南允许的基础原生食材类别
291,白玉菇,KEEP,134,白玉菇,符合基础原生食材定义
292,面包粉,DROP,,,烘焙或乳制加工食品
293,火锅料,DROP,,,不属于指南允许的基础原生食材类别
294,海鲜菇,KEEP,132,海鲜菇,符合基础原生食材定义
295,马蹄,KEEP,131,马蹄,符合基础原生食材定义
296,花菜,KEEP,130,花菜,符合基础原生食材定义
297,毛豆,KEEP,129,毛豆,符合基础原生食材定义
298,抹茶,DROP,,,饮料、酒类或乳制品不属于本版核心原生食材
299,酸豆角,DROP,,,成品、半成品或加工食品
300,豆干,DROP,,,豆制品或淀粉制品（严格模式排除）
301,樱桃,KEEP,135,樱桃,符合基础原生食材定义
302,豆腐皮,DROP,,,豆制品或淀粉制品（严格模式排除）
303,小麦粉,REVIEW,,,可能是原生食材，但频次、命名或类别证据不足
304,苏打粉,DROP,,,不属于指南允许的基础原生食材类别
305,丸子,DROP,,,成品、半成品或加工食品
306,黑豆,KEEP,139,黑豆,符合基础原生食材定义
307,小白菜,KEEP,137,小白菜,符合基础原生食材定义
308,绿豆芽,KEEP,138,绿豆芽,符合基础原生食材定义
309,四季豆,KEEP,136,四季豆,符合基础原生食材定义
310,酱牛肉,DROP,,,成品、半成品或加工食品
311,青柠,DROP,,,不属于指南允许的基础原生食材类别
312,果干,DROP,,,成品、半成品或加工食品
313,土豆粉,REVIEW,,,可能是原生食材，但频次、命名或类别证据不足
314,羊排,KEEP,140,羊排,符合基础原生食材定义
315,黄豆粉,REVIEW,,,可能是原生食材，但频次、命名或类别证据不足
316,蛋糕胚,DROP,,,烘焙或乳制加工食品
317,鸡中翅,KEEP,141,鸡中翅,符合基础原生食材定义
318,青红辣椒,SPLIT,11|50,青椒|红辣椒,明确包含多个独立食材；关系保守保留原文，克数不拆分
319,法棍,DROP,,,不属于指南允许的基础原生食材类别
320,海米,DROP,,,成品、半成品或加工食品
321,藜麦,KEEP,144,藜麦,符合基础原生食材定义
322,秋葵,KEEP,142,秋葵,符合基础原生食材定义
323,馄饨皮,DROP,,,成品、半成品或加工食品
324,桃胶,DROP,,,成品、半成品或加工食品
325,三黄鸡,KEEP,143,三黄鸡,符合基础原生食材定义
326,巧克力粉,DROP,,,烘焙或乳制加工食品
327,脱脂牛奶,DROP,,,饮料、酒类或乳制品不属于本版核心原生食材
328,茶树菇,KEEP,147,茶树菇,符合基础原生食材定义
329,桂圆,KEEP,146,桂圆,符合基础原生食材定义
330,丁香,DROP,,,不属于指南允许的基础原生食材类别
331,蛋糕粉,DROP,,,烘焙或乳制加工食品
332,红豆馅,REVIEW,,,可能是原生食材，但频次、命名或类别证据不足
333,九层塔,DROP,,,不属于指南允许的基础原生食材类别
334,各种蔬菜,REVIEW,,,名称过于宽泛或形态含义不明确，禁止猜测映射
335,莴笋,KEEP,145,莴笋,符合基础原生食材定义
336,青瓜,MERGE,19,黄瓜,明确别名或规范名统一
337,汤圆,DROP,,,不属于指南允许的基础原生食材类别
338,肉沫,REVIEW,,,名称过于宽泛或形态含义不明确，禁止猜测映射
339,戚风蛋糕胚,DROP,,,烘焙或乳制加工食品
340,蜜豆,DROP,,,成品、半成品或加工食品
341,方便面,DROP,,,成品、半成品或加工食品
342,柠檬皮屑,DROP,,,不属于指南允许的基础原生食材类别
343,黄豆芽,KEEP,150,黄豆芽,符合基础原生食材定义
344,蛋黄液,REVIEW,,,名称过于宽泛或形态含义不明确，禁止猜测映射
345,可乐,DROP,,,饮料、酒类或乳制品不属于本版核心原生食材
346,蜜枣,REVIEW,,,名称过于宽泛或形态含义不明确，禁止猜测映射
347,蓝莓干,DROP,,,成品、半成品或加工食品
348,蛋白粉,DROP,,,饮料、酒类或乳制品不属于本版核心原生食材
349,大头菜,KEEP,148,大头菜,符合基础原生食材定义
350,芹菜叶,KEEP,149,芹菜叶,符合基础原生食材定义
351,馒头,DROP,,,成品、半成品或加工食品
352,熟花生,DROP,,,成品、半成品或加工食品
353,豇豆,KEEP,151,豇豆,符合基础原生食材定义
354,牛里脊,KEEP,152,牛里脊,符合基础原生食材定义
355,牛肉馅,REVIEW,,,可能是原生食材，但频次、命名或类别证据不足
356,野山椒,REVIEW,,,名称过于宽泛或形态含义不明确，禁止猜测映射
357,玫瑰,DROP,,,调味料不进入基础原生食材表
358,牛排,KEEP,155,牛排,符合基础原生食材定义
359,那种,DROP,,,不属于指南允许的基础原生食材类别
360,虾干,DROP,,,成品、半成品或加工食品
361,鲈鱼,KEEP,156,鲈鱼,符合基础原生食材定义
362,黄花菜,KEEP,153,黄花菜,符合基础原生食材定义
363,葱姜水,DROP,,,成品、半成品或加工食品
364,橙子,KEEP,154,橙子,符合基础原生食材定义
365,披萨草,DROP,,,成品、半成品或加工食品
366,全麦面包,DROP,,,烘焙或乳制加工食品
367,水果玉米,KEEP,157,水果玉米,符合基础原生食材定义
368,干酪,DROP,,,饮料、酒类或乳制品不属于本版核心原生食材
369,黑椒,DROP,,,调味料不进入基础原生食材表
370,糙米,KEEP,163,糙米,符合基础原生食材定义
371,拉面,REVIEW,,,可能是原生食材，但频次、命名或类别证据不足
372,花甲,DROP,,,不属于指南允许的基础原生食材类别
373,朵西兰花,MERGE,53,西兰花,去除确定的鲜冻/去皮去骨描述
374,剁辣椒,DROP,,,成品、半成品或加工食品
375,大白菜,KEEP,158,大白菜,符合基础原生食材定义
376,紫薯粉,REVIEW,,,可能是原生食材，但频次、命名或类别证据不足
377,饮水,DROP,,,不属于指南允许的基础原生食材类别
378,桂花,DROP,,,调味料不进入基础原生食材表
379,蟹肉棒,DROP,,,成品、半成品或加工食品
380,枸杞子,MERGE,57,枸杞,明确别名或规范名统一
381,红心火龙果,KEEP,159,红心火龙果,符合基础原生食材定义
382,酸黄瓜,DROP,,,成品、半成品或加工食品
383,西瓜,KEEP,160,西瓜,符合基础原生食材定义
384,扇贝,KEEP,161,扇贝,符合基础原生食材定义
385,榛子,KEEP,162,榛子,符合基础原生食材定义
386,奶油芝士,DROP,,,烘焙或乳制加工食品
387,手擀面,REVIEW,,,可能是原生食材，但频次、命名或类别证据不足
388,冰淇淋,DROP,,,成品、半成品或加工食品
389,粽叶,DROP,,,不属于指南允许的基础原生食材类别
390,菜心,KEEP,165,菜心,符合基础原生食材定义
391,葱头,MERGE,5,洋葱,明确别名或规范名统一
392,猕猴桃,KEEP,166,猕猴桃,符合基础原生食材定义
393,紫苏,KEEP,164,紫苏,符合基础原生食材定义
394,肉桂,DROP,,,调味料不进入基础原生食材表
395,黑鱼,KEEP,167,黑鱼,符合基础原生食材定义
396,葱蒜,SPLIT,1|2,葱|蒜,明确包含多个独立食材；关系保守保留原文，克数不拆分
397,板栗,KEEP,169,板栗,符合基础原生食材定义
398,香干,DROP,,,成品、半成品或加工食品
399,油麦菜,KEEP,168,油麦菜,符合基础原生食材定义
400,鱼饼,DROP,,,成品、半成品或加工食品
401,竹炭粉,DROP,,,不属于指南允许的基础原生食材类别
402,豆皮,DROP,,,豆制品或淀粉制品（严格模式排除）
403,肥肉,REVIEW,,,名称过于宽泛或形态含义不明确，禁止猜测映射
404,混合香料,DROP,,,不属于指南允许的基础原生食材类别
405,干果,DROP,,,不属于指南允许的基础原生食材类别
406,细面,REVIEW,,,可能是原生食材，但频次、命名或类别证据不足
407,芝麻菜,KEEP,176,芝麻菜,符合基础原生食材定义
408,奶酪片,DROP,,,烘焙或乳制加工食品
409,烧烤料,DROP,,,不属于指南允许的基础原生食材类别
410,气泡水,DROP,,,不属于指南允许的基础原生食材类别
411,龙口粉丝,DROP,,,豆制品或淀粉制品（严格模式排除）
412,花胶,DROP,,,不属于指南允许的基础原生食材类别
413,南瓜粉,REVIEW,,,可能是原生食材，但频次、命名或类别证据不足
414,养乐多,DROP,,,不属于指南允许的基础原生食材类别
415,鲜牛奶,DROP,,,饮料、酒类或乳制品不属于本版核心原生食材
416,荔浦芋头,KEEP,174,荔浦芋头,符合基础原生食材定义
417,猪肝,KEEP,171,猪肝,符合基础原生食材定义
418,猪颈肉,KEEP,172,猪颈肉,符合基础原生食材定义
419,绿叶菜,REVIEW,,,名称过于宽泛或形态含义不明确，禁止猜测映射
420,慕斯,DROP,,,成品、半成品或加工食品
421,豆腐干,DROP,,,豆制品或淀粉制品（严格模式排除）
422,贝贝南瓜,KEEP,173,贝贝南瓜,符合基础原生食材定义
423,帕玛森芝士,DROP,,,烘焙或乳制加工食品
424,开心果,KEEP,175,开心果,符合基础原生食材定义
425,椰子,KEEP,170,椰子,符合基础原生食材定义
426,番茄膏,DROP,,,成品、半成品或加工食品
427,笋干,DROP,,,成品、半成品或加工食品
428,芋圆,DROP,,,成品、半成品或加工食品
429,茶包,DROP,,,不属于指南允许的基础原生食材类别
430,美乃滋,DROP,,,不属于指南允许的基础原生食材类别
431,树莓,DROP,,,不属于指南允许的基础原生食材类别
432,冷开水,DROP,,,不属于指南允许的基础原生食材类别
433,米线,DROP,,,成品、半成品或加工食品
434,全脂奶粉,DROP,,,烘焙或乳制加工食品
435,鲜奶,DROP,,,饮料、酒类或乳制品不属于本版核心原生食材
436,草莓粉,REVIEW,,,可能是原生食材，但频次、命名或类别证据不足
437,无花果,KEEP,177,无花果,符合基础原生食材定义
438,肉糜,REVIEW,,,名称过于宽泛或形态含义不明确，禁止猜测映射
439,二荆条,DROP,,,不属于指南允许的基础原生食材类别
440,龙须面,REVIEW,,,可能是原生食材，但频次、命名或类别证据不足
441,西蓝花,DROP,,,不属于指南允许的基础原生食材类别
442,巴沙鱼,KEEP,178,巴沙鱼,符合基础原生食材定义
443,牛奶巧克力,DROP,,,烘焙或乳制加工食品
444,果仁,REVIEW,,,名称过于宽泛或形态含义不明确，禁止猜测映射
445,速溶咖啡粉,DROP,,,饮料、酒类或乳制品不属于本版核心原生食材
446,藤椒,DROP,,,调味料不进入基础原生食材表
447,红尖椒,KEEP,181,红尖椒,符合基础原生食材定义
448,通心粉,REVIEW,,,可能是原生食材，但频次、命名或类别证据不足
449,白菜叶,KEEP,180,白菜叶,符合基础原生食材定义
450,海鲜,REVIEW,,,名称过于宽泛或形态含义不明确，禁止猜测映射
451,脱脂奶粉,DROP,,,烘焙或乳制加工食品
452,鲜香菇,MERGE,23,香菇,去除确定的鲜冻/去皮去骨描述
