id,calendar_id,level,time_name,season,category,name,note,recommendation_reason,source,entity_type,catalog_ingredient_id,core_ingredient_id,match_status
SF0073,季节-夏,季节,夏,夏,蔬菜,龙须菜,,,用户参考,ingredient,519,519,core_exact
SF0074,季节-夏,季节,夏,夏,蔬菜,红薯叶,,,用户参考,ingredient,474,474,core_exact
SF0075,季节-夏,季节,夏,夏,蔬菜,竹笋,,,用户参考,ingredient,282,282,core_exact
SF0076,季节-夏,季节,夏,夏,蔬菜,卷心菜,,,用户参考,ingredient,76,76,core_exact
SF0077,季节-夏,季节,夏,夏,蔬菜,豇豆,,,用户参考,ingredient,151,151,core_exact
SF0078,季节-夏,季节,夏,夏,蔬菜,蚕豆,,,用户参考,ingredient,284,284,core_exact
SF0079,季节-春,季节,春,春,水果,草莓,,,用户参考,ingredient,43,43,core_exact
SF0080,季节-春,季节,春,春,水果,樱桃,,,用户参考,ingredient,135,135,core_exact
SF0081,季节-春,季节,春,春,水果,枇杷,,,用户参考,ingredient,353,353,core_exact
SF0082,季节-春,季节,春,春,水果,桑葚,,,用户参考,ingredient,303,303,core_exact
SF0083,季节-春,季节,春,春,水果,青梅,,,用户参考,ingredient,366,366,core_exact
SF0084,季节-春,季节,春,春,水果,油桃,,,用户参考,ingredient,4122,,catalog_exact
SF0085,季节-春,季节,春,春,水果,番石榴,,,用户参考,ingredient,443,443,core_exact
SF0086,季节-春,季节,春,春,水果,青枣,,,用户参考,ingredient,8085,,seasonal_catalog
SF0087,季节-春,季节,春,春,水果,莲雾,春末,,用户参考,ingredient,8076,,seasonal_catalog
SF0088,季节-春,季节,春,春,蔬菜,春笋,,,用户参考,ingredient,220,220,core_exact
SF0089,季节-春,季节,春,春,蔬菜,韭菜,,,用户参考,ingredient,48,48,core_exact
SF0090,季节-春,季节,春,春,蔬菜,荠菜,,,用户参考,ingredient,266,266,core_exact
SF0091,季节-春,季节,春,春,蔬菜,菠菜,,,用户参考,ingredient,40,40,core_exact
SF0092,季节-春,季节,春,春,蔬菜,芹菜,,,用户参考,ingredient,27,27,core_exact
SF0093,季节-春,季节,春,春,蔬菜,莴笋,,,用户参考,ingredient,145,145,core_exact
SF0094,季节-春,季节,春,春,蔬菜,香椿,,,用户参考,ingredient,337,337,core_exact
SF0095,季节-春,季节,春,春,蔬菜,蒜苗,,,用户参考,ingredient,80,80,core_exact
SF0096,季节-春,季节,春,春,蔬菜,豌豆,,,用户参考,ingredient,60,60,core_exact
SF0097,季节-春,季节,春,春,蔬菜,茼蒿,,,用户参考,ingredient,257,257,core_exact
SF0098,季节-春,季节,春,春,蔬菜,油菜,,,用户参考,ingredient,44,44,core_exact
SF0099,季节-春,季节,春,春,蔬菜,辣椒,,,用户参考,ingredient,17,17,core_exact
SF0100,季节-春,季节,春,春,蔬菜,青椒,,,用户参考,ingredient,11,11,core_exact
SF0101,季节-春,季节,春,春,蔬菜,彩椒,,,用户参考,ingredient,74,74,core_exact
SF0102,季节-春,季节,春,春,蔬菜,洋葱,,,用户参考,ingredient,5,5,core_exact
SF0103,季节-春,季节,春,春,蔬菜,菜花,,,用户参考,ingredient,208,208,core_exact
SF0104,季节-春,季节,春,春,蔬菜,甜豌豆,,,用户参考,ingredient,8071,,seasonal_catalog
SF0105,季节-春,季节,春,春,蔬菜,马兰头,,,用户参考,ingredient,377,377,core_exact
SF0106,季节-春,季节,春,春,蔬菜,瓠子,,,用户参考,ingredient,8069,,seasonal_catalog
SF0107,季节-春,季节,春,春,蔬菜,菜心,,,用户参考,ingredient,165,165,core_exact
SF0108,季节-春,季节,春,春,蔬菜,豌豆苗,,,用户参考,ingredient,440,440,core_exact
SF0109,季节-秋,季节,秋,秋,水果,梨,,,用户参考,ingredient,3899,,catalog_exact
SF0110,季节-秋,季节,秋,秋,水果,苹果,,,用户参考,ingredient,56,56,core_exact
SF0111,季节-秋,季节,秋,秋,水果,石榴,,,用户参考,ingredient,314,314,core_exact
SF0112,季节-秋,季节,秋,秋,水果,柚子,,,用户参考,ingredient,223,223,core_exact
SF0113,季节-秋,季节,秋,秋,水果,橘子,,,用户参考,ingredient,214,214,core_exact
SF0114,季节-秋,季节,秋,秋,水果,冬枣,,,用户参考,ingredient,520,520,core_exact
SF0115,季节-秋,季节,秋,秋,水果,猕猴桃,,,用户参考,ingredient,166,166,core_exact
SF0116,季节-秋,季节,秋,秋,水果,柿子,,,用户参考,ingredient,3855,,catalog_exact
SF0117,季节-秋,季节,秋,秋,水果,木瓜,,,用户参考,ingredient,195,195,core_exact
SF0118,季节-秋,季节,秋,秋,水果,莲子,,,用户参考,ingredient,122,122,core_exact
SF0119,季节-秋,季节,秋,秋,水果,甘蔗,,,用户参考,ingredient,8070,,seasonal_catalog
SF0120,季节-秋,季节,秋,秋,水果,葡萄,,,用户参考,ingredient,124,124,core_exact
SF0121,季节-秋,季节,秋,秋,水果,火龙果,,,用户参考,ingredient,100,100,core_exact
SF0122,季节-秋,季节,秋,秋,水果,杨桃,,,用户参考,ingredient,419,419,core_exact
SF0123,季节-秋,季节,秋,秋,水果,番石榴,,,用户参考,ingredient,443,443,core_exact
SF0124,季节-秋,季节,秋,秋,水果,杏子,,,用户参考,ingredient,8066,,seasonal_catalog
SF0125,季节-秋,季节,秋,秋,水果,红枣,,,用户参考,ingredient,21,21,core_exact
SF0126,季节-秋,季节,秋,秋,水果,山楂,,,用户参考,ingredient,3019,,catalog_exact
SF0127,季节-秋,季节,秋,秋,水果,核桃,,,用户参考,ingredient,38,38,core_exact
SF0128,季节-秋,季节,秋,秋,蔬菜,白萝卜,,,用户参考,ingredient,63,63,core_exact
SF0129,季节-秋,季节,秋,秋,蔬菜,大白菜,,,用户参考,ingredient,158,158,core_exact
SF0130,季节-秋,季节,秋,秋,蔬菜,山药,,,用户参考,ingredient,85,85,core_exact
SF0131,季节-秋,季节,秋,秋,蔬菜,莲藕,,,用户参考,ingredient,96,96,core_exact
SF0132,季节-秋,季节,秋,秋,蔬菜,西兰花,,,用户参考,ingredient,53,53,core_exact
SF0133,季节-秋,季节,秋,秋,蔬菜,娃娃菜,,,用户参考,ingredient,70,70,core_exact
SF0134,季节-秋,季节,秋,秋,蔬菜,秋葵,,,用户参考,ingredient,142,142,core_exact
SF0135,季节-秋,季节,秋,秋,蔬菜,茨菇,,,用户参考,ingredient,6174,,catalog_exact
SF0136,季节-秋,季节,秋,秋,蔬菜,南瓜,,,用户参考,ingredient,30,30,core_exact
SF0137,季节-秋,季节,秋,秋,蔬菜,菱角,,,用户参考,ingredient,559,559,core_exact
SF0138,季节-秋,季节,秋,秋,蔬菜,辣椒,,,用户参考,ingredient,17,17,core_exact
SF0139,季节-秋,季节,秋,秋,蔬菜,栗子,,,用户参考,ingredient,116,116,core_exact
SF0140,季节-秋,季节,秋,秋,蔬菜,冬瓜,,,用户参考,ingredient,108,108,core_exact
SF0141,季节-秋,季节,秋,秋,蔬菜,四季豆,芸豆,,用户参考,ingredient,136,136,core_exact
SF0142,季节-秋,季节,秋,秋,蔬菜,红薯叶,,,用户参考,ingredient,474,474,core_exact
SF0143,季节-秋,季节,秋,秋,蔬菜,豆角,,,用户参考,ingredient,84,84,core_exact
SF0144,季节-秋,季节,秋,秋,蔬菜,扁豆,,,用户参考,ingredient,227,227,core_exact
SF0145,季节-秋,季节,秋,秋,蔬菜,菜花,,,用户参考,ingredient,208,208,core_exact
SF0146,季节-秋,季节,秋,秋,蔬菜,胡萝卜,,,用户参考,ingredient,6,6,core_exact
SF0147,季节-秋,季节,秋,秋,蔬菜,葱,,,用户参考,ingredient,1,1,core_exact
SF0148,季节-秋,季节,秋,秋,蔬菜,黄瓜,,,用户参考,ingredient,19,19,core_exact
SF0149,季节-秋,季节,秋,秋,蔬菜,番茄,,,用户参考,ingredient,14,14,core_exact
SF0150,季节-秋,季节,秋,秋,蔬菜,茄子,,,用户参考,ingredient,110,110,core_exact
SF0151,季节-秋,季节,秋,秋,蔬菜,百合,,,用户参考,ingredient,229,229,core_exact
SF0152,月份-01,月份,1月,冬,水果,砂糖橘,,,用户参考,ingredient,8073,,seasonal_catalog
SF0153,月份-01,月份,1月,冬,水果,沃柑,,,用户参考,ingredient,8068,,seasonal_catalog
SF0154,月份-01,月份,1月,冬,水果,赣南脐橙,,,用户参考,ingredient,8081,,seasonal_catalog
SF0155,月份-01,月份,1月,冬,水果,猕猴桃,,,用户参考,ingredient,166,166,core_exact
SF0156,月份-01,月份,1月,冬,水果,山楂,,,用户参考,ingredient,3019,,catalog_exact
SF0157,月份-01,月份,1月,冬,水果,甘蔗,,,用户参考,ingredient,8070,,seasonal_catalog
SF0158,月份-01,月份,1月,冬,蔬菜,大白菜,,,用户参考,ingredient,158,158,core_exact
SF0159,月份-01,月份,1月,冬,蔬菜,小白菜,,,用户参考,ingredient,137,137,core_exact
SF0160,月份-01,月份,1月,冬,蔬菜,菠菜,,,用户参考,ingredient,40,40,core_exact
SF0161,月份-01,月份,1月,冬,蔬菜,芹菜,,,用户参考,ingredient,27,27,core_exact
SF0162,月份-01,月份,1月,冬,蔬菜,白萝卜,,,用户参考,ingredient,63,63,core_exact
SF0163,月份-01,月份,1月,冬,蔬菜,胡萝卜,,,用户参考,ingredient,6,6,core_exact
SF0164,月份-01,月份,1月,冬,蔬菜,卷心菜,,,用户参考,ingredient,76,76,core_exact
SF0165,月份-01,月份,1月,冬,蔬菜,花菜,,,用户参考,ingredient,130,130,core_exact
SF0166,月份-01,月份,1月,冬,蔬菜,茨菇,,,用户参考,ingredient,6174,,catalog_exact
SF0167,月份-01,月份,1月,冬,蔬菜,香菇,,,用户参考,ingredient,23,23,core_exact
SF0168,月份-02,月份,2月,冬,水果,砂糖橘,,,用户参考,ingredient,8073,,seasonal_catalog
SF0169,月份-02,月份,2月,冬,水果,沃柑,,,用户参考,ingredient,8068,,seasonal_catalog
SF0170,月份-02,月份,2月,冬,水果,赣南脐橙,,,用户参考,ingredient,8081,,seasonal_catalog
SF0171,月份-02,月份,2月,冬,水果,猕猴桃,,,用户参考,ingredient,166,166,core_exact
SF0172,月份-02,月份,2月,冬,水果,山楂,,,用户参考,ingredient,3019,,catalog_exact
SF0173,月份-02,月份,2月,冬,水果,甘蔗,,,用户参考,ingredient,8070,,seasonal_catalog
SF0174,月份-02,月份,2月,冬,蔬菜,大白菜,,,用户参考,ingredient,158,158,core_exact
SF0175,月份-02,月份,2月,冬,蔬菜,小白菜,,,用户参考,ingredient,137,137,core_exact
SF0176,月份-02,月份,2月,冬,蔬菜,菠菜,,,用户参考,ingredient,40,40,core_exact
SF0177,月份-02,月份,2月,冬,蔬菜,芹菜,,,用户参考,ingredient,27,27,core_exact
SF0178,月份-02,月份,2月,冬,蔬菜,菜心,,,用户参考,ingredient,165,165,core_exact
SF0179,月份-02,月份,2月,冬,蔬菜,卷心菜,,,用户参考,ingredient,76,76,core_exact
SF0180,月份-02,月份,2月,冬,蔬菜,荠菜,,,用户参考,ingredient,266,266,core_exact
SF0181,月份-02,月份,2月,冬,蔬菜,生菜,,,用户参考,ingredient,31,31,core_exact
SF0182,月份-03,月份,3月,春,水果,草莓,尾季,,用户参考,ingredient,43,43,core_exact
SF0183,月份-03,月份,3月,春,水果,芒果,海南/广西早熟,,用户参考,ingredient,42,42,core_exact
SF0184,月份-03,月份,3月,春,水果,枇杷,,,用户参考,ingredient,353,353,core_exact
SF0185,月份-03,月份,3月,春,水果,桑葚,,,用户参考,ingredient,303,303,core_exact
SF0186,月份-03,月份,3月,春,水果,菠萝,,,用户参考,ingredient,67,67,core_exact
SF0187,月份-03,月份,3月,春,蔬菜,小白菜,,,用户参考,ingredient,137,137,core_exact
SF0188,月份-03,月份,3月,春,蔬菜,菠菜,,,用户参考,ingredient,40,40,core_exact
SF0189,月份-03,月份,3月,春,蔬菜,芹菜,,,用户参考,ingredient,27,27,core_exact
SF0190,月份-03,月份,3月,春,蔬菜,菜心,,,用户参考,ingredient,165,165,core_exact
SF0191,月份-03,月份,3月,春,蔬菜,韭菜,,,用户参考,ingredient,48,48,core_exact
SF0192,月份-03,月份,3月,春,蔬菜,春笋,,,用户参考,ingredient,220,220,core_exact
SF0193,月份-03,月份,3月,春,蔬菜,香椿,,,用户参考,ingredient,337,337,core_exact
SF0194,月份-03,月份,3月,春,蔬菜,豌豆苗,,,用户参考,ingredient,440,440,core_exact
SF0195,月份-03,月份,3月,春,蔬菜,蚕豆,,,用户参考,ingredient,284,284,core_exact
SF0196,月份-03,月份,3月,春,蔬菜,荠菜,,,用户参考,ingredient,266,266,core_exact
SF0197,月份-03,月份,3月,春,蔬菜,茼蒿,,,用户参考,ingredient,257,257,core_exact
SF0198,月份-04,月份,4月,春,水果,草莓,,,用户参考,ingredient,43,43,core_exact
SF0199,月份-04,月份,4月,春,水果,枇杷,,,用户参考,ingredient,353,353,core_exact
SF0200,月份-04,月份,4月,春,水果,芒果,,,用户参考,ingredient,42,42,core_exact
SF0201,月份-04,月份,4月,春,水果,桑葚,,,用户参考,ingredient,303,303,core_exact
SF0202,月份-04,月份,4月,春,水果,樱桃,早熟,,用户参考,ingredient,135,135,core_exact
SF0203,月份-04,月份,4月,春,蔬菜,小白菜,,,用户参考,ingredient,137,137,core_exact
SF0204,月份-04,月份,4月,春,蔬菜,莴笋,,,用户参考,ingredient,145,145,core_exact
SF0205,月份-04,月份,4月,春,蔬菜,鸡毛菜,,,用户参考,ingredient,209,209,core_exact
SF0206,月份-04,月份,4月,春,蔬菜,芹菜,,,用户参考,ingredient,27,27,core_exact
SF0207,月份-04,月份,4月,春,蔬菜,春笋,,,用户参考,ingredient,220,220,core_exact
SF0208,月份-04,月份,4月,春,蔬菜,香椿,,,用户参考,ingredient,337,337,core_exact
SF0209,月份-04,月份,4月,春,蔬菜,韭菜,,,用户参考,ingredient,48,48,core_exact
SF0210,月份-04,月份,4月,春,蔬菜,豌豆苗,,,用户参考,ingredient,440,440,core_exact
SF0211,月份-04,月份,4月,春,蔬菜,蚕豆,,,用户参考,ingredient,284,284,core_exact
SF0212,月份-04,月份,4月,春,蔬菜,荠菜,,,用户参考,ingredient,266,266,core_exact
SF0213,月份-05,月份,5月,春,水果,草莓,,,用户参考,ingredient,43,43,core_exact
SF0214,月份-05,月份,5月,春,水果,枇杷,,,用户参考,ingredient,353,353,core_exact
SF0215,月份-05,月份,5月,春,水果,桑葚,,,用户参考,ingredient,303,303,core_exact
SF0216,月份-05,月份,5月,春,水果,樱桃,,,用户参考,ingredient,135,135,core_exact
SF0217,月份-05,月份,5月,春,水果,芒果,,,用户参考,ingredient,42,42,core_exact
SF0218,月份-05,月份,5月,春,水果,杨梅,,,用户参考,ingredient,210,210,core_exact
SF0219,月份-05,月份,5月,春,水果,油桃,,,用户参考,ingredient,4122,,catalog_exact
SF0220,月份-05,月份,5月,春,水果,李子,,,用户参考,ingredient,388,388,core_exact
SF0221,月份-05,月份,5月,春,水果,荔枝,早熟,,用户参考,ingredient,233,233,core_exact
SF0222,月份-05,月份,5月,春,蔬菜,小白菜,,,用户参考,ingredient,137,137,core_exact
SF0223,月份-05,月份,5月,春,蔬菜,卷心菜,,,用户参考,ingredient,76,76,core_exact
SF0224,月份-05,月份,5月,春,蔬菜,莴笋,,,用户参考,ingredient,145,145,core_exact
SF0225,月份-05,月份,5月,春,蔬菜,鸡毛菜,,,用户参考,ingredient,209,209,core_exact
SF0226,月份-05,月份,5月,春,蔬菜,黄瓜,,,用户参考,ingredient,19,19,core_exact
SF0227,月份-05,月份,5月,春,蔬菜,番茄,,,用户参考,ingredient,14,14,core_exact
SF0228,月份-05,月份,5月,春,蔬菜,蚕豆,,,用户参考,ingredient,284,284,core_exact
SF0229,月份-05,月份,5月,春,蔬菜,茭白,,,用户参考,ingredient,362,362,core_exact
SF0230,月份-05,月份,5月,春,蔬菜,茄子,,,用户参考,ingredient,110,110,core_exact
SF0231,月份-05,月份,5月,春,蔬菜,丝瓜,,,用户参考,ingredient,254,254,core_exact
SF0232,月份-05,月份,5月,春,蔬菜,苦瓜,,,用户参考,ingredient,265,265,core_exact
SF0233,月份-06,月份,6月,夏,水果,西瓜,,,用户参考,ingredient,160,160,core_exact
SF0234,月份-06,月份,6月,夏,水果,杨梅,,,用户参考,ingredient,210,210,core_exact
SF0235,月份-06,月份,6月,夏,水果,樱桃,,,用户参考,ingredient,135,135,core_exact
SF0236,月份-06,月份,6月,夏,水果,荔枝,,,用户参考,ingredient,233,233,core_exact
SF0237,月份-06,月份,6月,夏,水果,枇杷,尾季,,用户参考,ingredient,353,353,core_exact
SF0238,月份-06,月份,6月,夏,水果,水蜜桃,,,用户参考,ingredient,224,224,core_exact
SF0239,月份-06,月份,6月,夏,水果,哈密瓜,,,用户参考,ingredient,240,240,core_exact
SF0240,月份-06,月份,6月,夏,水果,火龙果,,,用户参考,ingredient,100,100,core_exact
SF0241,月份-06,月份,6月,夏,水果,龙眼,,,用户参考,ingredient,8087,,seasonal_catalog
SF0242,月份-06,月份,6月,夏,水果,葡萄,早熟,,用户参考,ingredient,124,124,core_exact
SF0243,月份-06,月份,6月,夏,蔬菜,黄瓜,,,用户参考,ingredient,19,19,core_exact
SF0244,月份-06,月份,6月,夏,蔬菜,番茄,,,用户参考,ingredient,14,14,core_exact
SF0245,月份-06,月份,6月,夏,蔬菜,冬瓜,,,用户参考,ingredient,108,108,core_exact
SF0246,月份-06,月份,6月,夏,蔬菜,丝瓜,,,用户参考,ingredient,254,254,core_exact
SF0247,月份-06,月份,6月,夏,蔬菜,茄子,,,用户参考,ingredient,110,110,core_exact
SF0248,月份-06,月份,6月,夏,蔬菜,南瓜,,,用户参考,ingredient,30,30,core_exact
SF0249,月份-06,月份,6月,夏,蔬菜,卷心菜,,,用户参考,ingredient,76,76,core_exact
SF0250,月份-06,月份,6月,夏,蔬菜,土豆,,,用户参考,ingredient,12,12,core_exact
SF0251,月份-06,月份,6月,夏,蔬菜,鸡毛菜,,,用户参考,ingredient,209,209,core_exact
SF0252,月份-06,月份,6月,夏,蔬菜,刀豆,,,用户参考,ingredient,343,343,core_exact
SF0253,月份-06,月份,6月,夏,蔬菜,豇豆,,,用户参考,ingredient,151,151,core_exact
SF0254,月份-06,月份,6月,夏,蔬菜,毛豆,,,用户参考,ingredient,129,129,core_exact
SF0255,月份-07,月份,7月,夏,水果,西瓜,,,用户参考,ingredient,160,160,core_exact
SF0256,月份-07,月份,7月,夏,水果,荔枝,,,用户参考,ingredient,233,233,core_exact
SF0257,月份-07,月份,7月,夏,水果,水蜜桃,,,用户参考,ingredient,224,224,core_exact
SF0258,月份-07,月份,7月,夏,水果,哈密瓜,,,用户参考,ingredient,240,240,core_exact
SF0259,月份-07,月份,7月,夏,水果,榴莲,,,用户参考,ingredient,196,196,core_exact
SF0260,月份-07,月份,7月,夏,水果,杨梅,,,用户参考,ingredient,210,210,core_exact
SF0261,月份-07,月份,7月,夏,水果,龙眼,,,用户参考,ingredient,8087,,seasonal_catalog
SF0262,月份-07,月份,7月,夏,水果,黄皮,,,用户参考,ingredient,7923,,catalog_exact
SF0263,月份-07,月份,7月,夏,水果,葡萄,,,用户参考,ingredient,124,124,core_exact
SF0264,月份-07,月份,7月,夏,水果,无花果,,,用户参考,ingredient,177,177,core_exact
SF0265,月份-07,月份,7月,夏,水果,百香果,,,用户参考,ingredient,120,120,core_exact
SF0266,月份-07,月份,7月,夏,蔬菜,黄瓜,,,用户参考,ingredient,19,19,core_exact
SF0267,月份-07,月份,7月,夏,蔬菜,番茄,,,用户参考,ingredient,14,14,core_exact
SF0268,月份-07,月份,7月,夏,蔬菜,冬瓜,,,用户参考,ingredient,108,108,core_exact
SF0269,月份-07,月份,7月,夏,蔬菜,丝瓜,,,用户参考,ingredient,254,254,core_exact
SF0270,月份-07,月份,7月,夏,蔬菜,苦瓜,,,用户参考,ingredient,265,265,core_exact
SF0271,月份-07,月份,7月,夏,蔬菜,茄子,,,用户参考,ingredient,110,110,core_exact
SF0272,月份-07,月份,7月,夏,蔬菜,豇豆,,,用户参考,ingredient,151,151,core_exact
SF0273,月份-07,月份,7月,夏,蔬菜,扁豆,,,用户参考,ingredient,227,227,core_exact
SF0274,月份-07,月份,7月,夏,蔬菜,空心菜,,,用户参考,ingredient,264,264,core_exact
