id,calendar_id,seasonal_food_id,time_name,level,season,category,name,content,source,knowledge_type
KB0029,季节-春,SF0107,春,季节,春,蔬菜,菜心,春季（3月-5月，农历一〜三月）的应季蔬菜有菜心。,用户参考,food
KB0030,季节-春,SF0108,春,季节,春,蔬菜,豌豆苗,春季（3月-5月，农历一〜三月）的应季蔬菜有豌豆苗。,用户参考,food
KB0031,季节-春,,春,季节,春,水果汇总,春的水果,春季（3月-5月，农历一〜三月）的应季水果共 9 种：草莓、樱桃、枇杷、桑葚、青梅、油桃、番石榴、青枣、莲雾（春末）。春季养肝，这样吃解春困！,用户参考,summary
KB0032,季节-春,,春,季节,春,蔬菜汇总,春的蔬菜,春季（3月-5月，农历一〜三月）的应季蔬菜共 21 种：春笋、韭菜、荠菜、菠菜、芹菜、莴笋、香椿、蒜苗、豌豆、茼蒿、油菜、辣椒、青椒、彩椒、洋葱、菜花、甜豌豆、马兰头、瓠子、菜心、豌豆苗。春季养肝，这样吃解春困！,用户参考,summary
KB0033,季节-夏,SF0033,夏,季节,夏,水果,西瓜,夏季（6月-8月，农历四〜六月）的应季水果有西瓜。,用户参考,food
KB0034,季节-夏,SF0034,夏,季节,夏,水果,桃子,夏季（6月-8月，农历四〜六月）的应季水果有桃子。,用户参考,food
KB0035,季节-夏,SF0035,夏,季节,夏,水果,李子,夏季（6月-8月，农历四〜六月）的应季水果有李子。,用户参考,food
KB0036,季节-夏,SF0036,夏,季节,夏,水果,杏子,夏季（6月-8月，农历四〜六月）的应季水果有杏子。,用户参考,food
KB0037,季节-夏,SF0037,夏,季节,夏,水果,葡萄,夏季（6月-8月，农历四〜六月）的应季水果有葡萄。,用户参考,food
KB0038,季节-夏,SF0038,夏,季节,夏,水果,荔枝,夏季（6月-8月，农历四〜六月）的应季水果有荔枝。,用户参考,food
KB0039,季节-夏,SF0039,夏,季节,夏,水果,龙眼,夏季（6月-8月，农历四〜六月）的应季水果有龙眼。,用户参考,food
KB0040,季节-夏,SF0040,夏,季节,夏,水果,芒果,夏季（6月-8月，农历四〜六月）的应季水果有芒果。,用户参考,food
KB0041,季节-夏,SF0041,夏,季节,夏,水果,哈密瓜,夏季（6月-8月，农历四〜六月）的应季水果有哈密瓜。,用户参考,food
KB0042,季节-夏,SF0042,夏,季节,夏,水果,香瓜,夏季（6月-8月，农历四〜六月）的应季水果有香瓜。,用户参考,food
KB0043,季节-夏,SF0043,夏,季节,夏,水果,草莓,夏季（6月-8月，农历四〜六月）的应季水果有草莓。,用户参考,food
KB0044,季节-夏,SF0044,夏,季节,夏,水果,莲雾,夏季（6月-8月，农历四〜六月）的应季水果有莲雾。,用户参考,food
KB0045,季节-夏,SF0045,夏,季节,夏,水果,菠萝,夏季（6月-8月，农历四〜六月）的应季水果有菠萝。,用户参考,food
KB0046,季节-夏,SF0046,夏,季节,夏,水果,柠檬,夏季（6月-8月，农历四〜六月）的应季水果有柠檬。,用户参考,food
KB0047,季节-夏,SF0047,夏,季节,夏,水果,百香果,夏季（6月-8月，农历四〜六月）的应季水果有百香果。,用户参考,food
KB0048,季节-夏,SF0048,夏,季节,夏,水果,火龙果,夏季（6月-8月，农历四〜六月）的应季水果有火龙果。,用户参考,food
KB0049,季节-夏,SF0049,夏,季节,夏,水果,猕猴桃,夏季（6月-8月，农历四〜六月）的应季水果有猕猴桃。,用户参考,food
KB0050,季节-夏,SF0050,夏,季节,夏,水果,香蕉,夏季（6月-8月，农历四〜六月）的应季水果有香蕉。,用户参考,food
KB0051,季节-夏,SF0051,夏,季节,夏,水果,椰子,夏季（6月-8月，农历四〜六月）的应季水果有椰子。,用户参考,food
KB0052,季节-夏,SF0052,夏,季节,夏,水果,樱桃,夏季（6月-8月，农历四〜六月）的应季水果有樱桃。,用户参考,food
KB0053,季节-夏,SF0053,夏,季节,夏,蔬菜,冬瓜,夏季（6月-8月，农历四〜六月）的应季蔬菜有冬瓜。,用户参考,food
KB0054,季节-夏,SF0054,夏,季节,夏,蔬菜,丝瓜,夏季（6月-8月，农历四〜六月）的应季蔬菜有丝瓜。,用户参考,food
KB0055,季节-夏,SF0055,夏,季节,夏,蔬菜,苦瓜,夏季（6月-8月，农历四〜六月）的应季蔬菜有苦瓜。,用户参考,food
KB0056,季节-夏,SF0056,夏,季节,夏,蔬菜,黄瓜,夏季（6月-8月，农历四〜六月）的应季蔬菜有黄瓜。,用户参考,food
KB0057,季节-夏,SF0057,夏,季节,夏,蔬菜,空心菜,夏季（6月-8月，农历四〜六月）的应季蔬菜有空心菜。,用户参考,food
KB0058,季节-夏,SF0058,夏,季节,夏,蔬菜,豆角,夏季（6月-8月，农历四〜六月）的应季蔬菜有豆角。,用户参考,food
KB0059,季节-夏,SF0059,夏,季节,夏,蔬菜,茄子,夏季（6月-8月，农历四〜六月）的应季蔬菜有茄子。,用户参考,food
KB0060,季节-夏,SF0060,夏,季节,夏,蔬菜,番茄,夏季（6月-8月，农历四〜六月）的应季蔬菜有番茄。,用户参考,food
KB0061,季节-夏,SF0061,夏,季节,夏,蔬菜,毛豆,夏季（6月-8月，农历四〜六月）的应季蔬菜有毛豆。,用户参考,food
KB0062,季节-夏,SF0062,夏,季节,夏,蔬菜,莲藕,夏季（6月-8月，农历四〜六月）的应季蔬菜有莲藕。,用户参考,food
KB0063,季节-夏,SF0063,夏,季节,夏,蔬菜,生菜,夏季（6月-8月，农历四〜六月）的应季蔬菜有生菜。,用户参考,food
KB0064,季节-夏,SF0064,夏,季节,夏,蔬菜,辣椒,夏季（6月-8月，农历四〜六月）的应季蔬菜有辣椒。,用户参考,food
KB0065,季节-夏,SF0065,夏,季节,夏,蔬菜,四季豆,夏季（6月-8月，农历四〜六月）的应季蔬菜有四季豆。,用户参考,food
KB0066,季节-夏,SF0066,夏,季节,夏,蔬菜,芦笋,夏季（6月-8月，农历四〜六月）的应季蔬菜有芦笋。,用户参考,food
KB0067,季节-夏,SF0067,夏,季节,夏,蔬菜,茭白,夏季（6月-8月，农历四〜六月）的应季蔬菜有茭白。,用户参考,food
KB0068,季节-夏,SF0068,夏,季节,夏,蔬菜,洋葱,夏季（6月-8月，农历四〜六月）的应季蔬菜有洋葱。,用户参考,food
KB0069,季节-夏,SF0069,夏,季节,夏,蔬菜,佛手瓜,夏季（6月-8月，农历四〜六月）的应季蔬菜有佛手瓜。,用户参考,food
KB0070,季节-夏,SF0070,夏,季节,夏,蔬菜,南瓜,夏季（6月-8月，农历四〜六月）的应季蔬菜有南瓜。,用户参考,food
KB0071,季节-夏,SF0071,夏,季节,夏,蔬菜,苋菜,夏季（6月-8月，农历四〜六月）的应季蔬菜有苋菜。,用户参考,food
KB0072,季节-夏,SF0072,夏,季节,夏,蔬菜,山苏,夏季（6月-8月，农历四〜六月）的应季蔬菜有山苏。,用户参考,food
KB0073,季节-夏,SF0073,夏,季节,夏,蔬菜,龙须菜,夏季（6月-8月，农历四〜六月）的应季蔬菜有龙须菜。,用户参考,food
KB0074,季节-夏,SF0074,夏,季节,夏,蔬菜,红薯叶,夏季（6月-8月，农历四〜六月）的应季蔬菜有红薯叶。,用户参考,food
KB0075,季节-夏,SF0075,夏,季节,夏,蔬菜,竹笋,夏季（6月-8月，农历四〜六月）的应季蔬菜有竹笋。,用户参考,food
KB0076,季节-夏,SF0076,夏,季节,夏,蔬菜,卷心菜,夏季（6月-8月，农历四〜六月）的应季蔬菜有卷心菜。,用户参考,food
KB0077,季节-夏,SF0077,夏,季节,夏,蔬菜,豇豆,夏季（6月-8月，农历四〜六月）的应季蔬菜有豇豆。,用户参考,food
KB0078,季节-夏,SF0078,夏,季节,夏,蔬菜,蚕豆,夏季（6月-8月，农历四〜六月）的应季蔬菜有蚕豆。,用户参考,food
KB0079,季节-夏,,夏,季节,夏,水果汇总,夏的水果,夏季（6月-8月，农历四〜六月）的应季水果共 20 种：西瓜、桃子、李子、杏子、葡萄、荔枝、龙眼、芒果、哈密瓜、香瓜、草莓、莲雾、菠萝、柠檬、百香果、火龙果、猕猴桃、香蕉、椰子、樱桃。夏季养心，这样吃消火气！,用户参考,summary
KB0080,季节-夏,,夏,季节,夏,蔬菜汇总,夏的蔬菜,夏季（6月-8月，农历四〜六月）的应季蔬菜共 26 种：冬瓜、丝瓜、苦瓜、黄瓜、空心菜、豆角、茄子、番茄、毛豆、莲藕、生菜、辣椒、四季豆、芦笋、茭白、洋葱、佛手瓜、南瓜、苋菜、山苏、龙须菜、红薯叶、竹笋、卷心菜、豇豆、蚕豆。夏季养心，这样吃消火气！,用户参考,summary
KB0081,季节-秋,SF0109,秋,季节,秋,水果,梨,秋季（9月-11月，农历七〜九月）的应季水果有梨。,用户参考,food
KB0082,季节-秋,SF0110,秋,季节,秋,水果,苹果,秋季（9月-11月，农历七〜九月）的应季水果有苹果。,用户参考,food
KB0083,季节-秋,SF0111,秋,季节,秋,水果,石榴,秋季（9月-11月，农历七〜九月）的应季水果有石榴。,用户参考,food
KB0084,季节-秋,SF0112,秋,季节,秋,水果,柚子,秋季（9月-11月，农历七〜九月）的应季水果有柚子。,用户参考,food
KB0085,季节-秋,SF0113,秋,季节,秋,水果,橘子,秋季（9月-11月，农历七〜九月）的应季水果有橘子。,用户参考,food
KB0086,季节-秋,SF0114,秋,季节,秋,水果,冬枣,秋季（9月-11月，农历七〜九月）的应季水果有冬枣。,用户参考,food
KB0087,季节-秋,SF0115,秋,季节,秋,水果,猕猴桃,秋季（9月-11月，农历七〜九月）的应季水果有猕猴桃。,用户参考,food
KB0088,季节-秋,SF0116,秋,季节,秋,水果,柿子,秋季（9月-11月，农历七〜九月）的应季水果有柿子。,用户参考,food
KB0089,季节-秋,SF0117,秋,季节,秋,水果,木瓜,秋季（9月-11月，农历七〜九月）的应季水果有木瓜。,用户参考,food
KB0090,季节-秋,SF0118,秋,季节,秋,水果,莲子,秋季（9月-11月，农历七〜九月）的应季水果有莲子。,用户参考,food
KB0091,季节-秋,SF0119,秋,季节,秋,水果,甘蔗,秋季（9月-11月，农历七〜九月）的应季水果有甘蔗。,用户参考,food
KB0092,季节-秋,SF0120,秋,季节,秋,水果,葡萄,秋季（9月-11月，农历七〜九月）的应季水果有葡萄。,用户参考,food
KB0093,季节-秋,SF0121,秋,季节,秋,水果,火龙果,秋季（9月-11月，农历七〜九月）的应季水果有火龙果。,用户参考,food
KB0094,季节-秋,SF0122,秋,季节,秋,水果,杨桃,秋季（9月-11月，农历七〜九月）的应季水果有杨桃。,用户参考,food
KB0095,季节-秋,SF0123,秋,季节,秋,水果,番石榴,秋季（9月-11月，农历七〜九月）的应季水果有番石榴。,用户参考,food
KB0096,季节-秋,SF0124,秋,季节,秋,水果,杏子,秋季（9月-11月，农历七〜九月）的应季水果有杏子。,用户参考,food
KB0097,季节-秋,SF0125,秋,季节,秋,水果,红枣,秋季（9月-11月，农历七〜九月）的应季水果有红枣。,用户参考,food
KB0098,季节-秋,SF0126,秋,季节,秋,水果,山楂,秋季（9月-11月，农历七〜九月）的应季水果有山楂。,用户参考,food
KB0099,季节-秋,SF0127,秋,季节,秋,水果,核桃,秋季（9月-11月，农历七〜九月）的应季水果有核桃。,用户参考,food
KB0100,季节-秋,SF0128,秋,季节,秋,蔬菜,白萝卜,秋季（9月-11月，农历七〜九月）的应季蔬菜有白萝卜。,用户参考,food
KB0101,季节-秋,SF0129,秋,季节,秋,蔬菜,大白菜,秋季（9月-11月，农历七〜九月）的应季蔬菜有大白菜。,用户参考,food
KB0102,季节-秋,SF0130,秋,季节,秋,蔬菜,山药,秋季（9月-11月，农历七〜九月）的应季蔬菜有山药。,用户参考,food
KB0103,季节-秋,SF0131,秋,季节,秋,蔬菜,莲藕,秋季（9月-11月，农历七〜九月）的应季蔬菜有莲藕。,用户参考,food
KB0104,季节-秋,SF0132,秋,季节,秋,蔬菜,西兰花,秋季（9月-11月，农历七〜九月）的应季蔬菜有西兰花。,用户参考,food
KB0105,季节-秋,SF0133,秋,季节,秋,蔬菜,娃娃菜,秋季（9月-11月，农历七〜九月）的应季蔬菜有娃娃菜。,用户参考,food
KB0106,季节-秋,SF0134,秋,季节,秋,蔬菜,秋葵,秋季（9月-11月，农历七〜九月）的应季蔬菜有秋葵。,用户参考,food
KB0107,季节-秋,SF0135,秋,季节,秋,蔬菜,茨菇,秋季（9月-11月，农历七〜九月）的应季蔬菜有茨菇。,用户参考,food
KB0108,季节-秋,SF0136,秋,季节,秋,蔬菜,南瓜,秋季（9月-11月，农历七〜九月）的应季蔬菜有南瓜。,用户参考,food
KB0109,季节-秋,SF0137,秋,季节,秋,蔬菜,菱角,秋季（9月-11月，农历七〜九月）的应季蔬菜有菱角。,用户参考,food
KB0110,季节-秋,SF0138,秋,季节,秋,蔬菜,辣椒,秋季（9月-11月，农历七〜九月）的应季蔬菜有辣椒。,用户参考,food
KB0111,季节-秋,SF0139,秋,季节,秋,蔬菜,栗子,秋季（9月-11月，农历七〜九月）的应季蔬菜有栗子。,用户参考,food
KB0112,季节-秋,SF0140,秋,季节,秋,蔬菜,冬瓜,秋季（9月-11月，农历七〜九月）的应季蔬菜有冬瓜。,用户参考,food
KB0113,季节-秋,SF0141,秋,季节,秋,蔬菜,四季豆,秋季（9月-11月，农历七〜九月）的应季蔬菜有四季豆（芸豆）。,用户参考,food
KB0114,季节-秋,SF0142,秋,季节,秋,蔬菜,红薯叶,秋季（9月-11月，农历七〜九月）的应季蔬菜有红薯叶。,用户参考,food
KB0115,季节-秋,SF0143,秋,季节,秋,蔬菜,豆角,秋季（9月-11月，农历七〜九月）的应季蔬菜有豆角。,用户参考,food
KB0116,季节-秋,SF0144,秋,季节,秋,蔬菜,扁豆,秋季（9月-11月，农历七〜九月）的应季蔬菜有扁豆。,用户参考,food
KB0117,季节-秋,SF0145,秋,季节,秋,蔬菜,菜花,秋季（9月-11月，农历七〜九月）的应季蔬菜有菜花。,用户参考,food
KB0118,季节-秋,SF0146,秋,季节,秋,蔬菜,胡萝卜,秋季（9月-11月，农历七〜九月）的应季蔬菜有胡萝卜。,用户参考,food
KB0119,季节-秋,SF0147,秋,季节,秋,蔬菜,葱,秋季（9月-11月，农历七〜九月）的应季蔬菜有葱。,用户参考,food
KB0120,季节-秋,SF0148,秋,季节,秋,蔬菜,黄瓜,秋季（9月-11月，农历七〜九月）的应季蔬菜有黄瓜。,用户参考,food
KB0121,季节-秋,SF0149,秋,季节,秋,蔬菜,番茄,秋季（9月-11月，农历七〜九月）的应季蔬菜有番茄。,用户参考,food
KB0122,季节-秋,SF0150,秋,季节,秋,蔬菜,茄子,秋季（9月-11月，农历七〜九月）的应季蔬菜有茄子。,用户参考,food
KB0123,季节-秋,SF0151,秋,季节,秋,蔬菜,百合,秋季（9月-11月，农历七〜九月）的应季蔬菜有百合。,用户参考,food
KB0124,季节-秋,,秋,季节,秋,水果汇总,秋的水果,秋季（9月-11月，农历七〜九月）的应季水果共 19 种：梨、苹果、石榴、柚子、橘子、冬枣、猕猴桃、柿子、木瓜、莲子、甘蔗、葡萄、火龙果、杨桃、番石榴、杏子、红枣、山楂、核桃。秋季润肺，这样吃抗病魔！,用户参考,summary
KB0125,季节-秋,,秋,季节,秋,蔬菜汇总,秋的蔬菜,秋季（9月-11月，农历七〜九月）的应季蔬菜共 24 种：白萝卜、大白菜、山药、莲藕、西兰花、娃娃菜、秋葵、茨菇、南瓜、菱角、辣椒、栗子、冬瓜、四季豆（芸豆）、红薯叶、豆角、扁豆、菜花、胡萝卜、葱、黄瓜、番茄、茄子、百合。秋季润肺，这样吃抗病魔！,用户参考,summary
KB0126,季节-冬,SF0001,冬,季节,冬,水果,砂糖橘,冬季（12月-2月，农历十〜十二月）的应季水果有砂糖橘。,用户参考,food
KB0127,季节-冬,SF0002,冬,季节,冬,水果,橙子,冬季（12月-2月，农历十〜十二月）的应季水果有橙子。,用户参考,food
KB0128,季节-冬,SF0003,冬,季节,冬,水果,沃柑,冬季（12月-2月，农历十〜十二月）的应季水果有沃柑。,用户参考,food
KB0129,季节-冬,SF0004,冬,季节,冬,水果,柚子,冬季（12月-2月，农历十〜十二月）的应季水果有柚子。,用户参考,food
KB0130,季节-冬,SF0005,冬,季节,冬,水果,冬枣,冬季（12月-2月，农历十〜十二月）的应季水果有冬枣。,用户参考,food
KB0131,季节-冬,SF0006,冬,季节,冬,水果,雪莲果,冬季（12月-2月，农历十〜十二月）的应季水果有雪莲果。,用户参考,food
KB0132,季节-冬,SF0007,冬,季节,冬,水果,甘蔗,冬季（12月-2月，农历十〜十二月）的应季水果有甘蔗。,用户参考,food
KB0133,季节-冬,SF0008,冬,季节,冬,水果,橘子,冬季（12月-2月，农历十〜十二月）的应季水果有橘子。,用户参考,food
KB0134,季节-冬,SF0009,冬,季节,冬,水果,青枣,冬季（12月-2月，农历十〜十二月）的应季水果有青枣。,用户参考,food
KB0135,季节-冬,SF0010,冬,季节,冬,水果,释迦,冬季（12月-2月，农历十〜十二月）的应季水果有释迦。,用户参考,food
KB0136,季节-冬,SF0011,冬,季节,冬,蔬菜,大白菜,冬季（12月-2月，农历十〜十二月）的应季蔬菜有大白菜。,用户参考,food
KB0137,季节-冬,SF0012,冬,季节,冬,蔬菜,白萝卜,冬季（12月-2月，农历十〜十二月）的应季蔬菜有白萝卜。,用户参考,food
KB0138,季节-冬,SF0013,冬,季节,冬,蔬菜,冬笋,冬季（12月-2月，农历十〜十二月）的应季蔬菜有冬笋。,用户参考,food
KB0139,季节-冬,SF0014,冬,季节,冬,蔬菜,娃娃菜,冬季（12月-2月，农历十〜十二月）的应季蔬菜有娃娃菜。,用户参考,food
KB0140,季节-冬,SF0015,冬,季节,冬,蔬菜,茼蒿,冬季（12月-2月，农历十〜十二月）的应季蔬菜有茼蒿。,用户参考,food
KB0141,季节-冬,SF0016,冬,季节,冬,蔬菜,油麦菜,冬季（12月-2月，农历十〜十二月）的应季蔬菜有油麦菜。,用户参考,food
KB0142,季节-冬,SF0017,冬,季节,冬,蔬菜,卷心菜,冬季（12月-2月，农历十〜十二月）的应季蔬菜有卷心菜。,用户参考,food
KB0143,季节-冬,SF0018,冬,季节,冬,蔬菜,胡萝卜,冬季（12月-2月，农历十〜十二月）的应季蔬菜有胡萝卜。,用户参考,food
KB0144,季节-冬,SF0019,冬,季节,冬,蔬菜,青椒,冬季（12月-2月，农历十〜十二月）的应季蔬菜有青椒。,用户参考,food
KB0145,季节-冬,SF0020,冬,季节,冬,蔬菜,洋葱,冬季（12月-2月，农历十〜十二月）的应季蔬菜有洋葱。,用户参考,food
KB0146,季节-冬,SF0021,冬,季节,冬,蔬菜,菜花,冬季（12月-2月，农历十〜十二月）的应季蔬菜有菜花。,用户参考,food
KB0147,季节-冬,SF0022,冬,季节,冬,蔬菜,甜豌豆,冬季（12月-2月，农历十〜十二月）的应季蔬菜有甜豌豆。,用户参考,food
KB0148,季节-冬,SF0023,冬,季节,冬,蔬菜,芹菜,冬季（12月-2月，农历十〜十二月）的应季蔬菜有芹菜。,用户参考,food
KB0149,季节-冬,SF0024,冬,季节,冬,蔬菜,菠菜,冬季（12月-2月，农历十〜十二月）的应季蔬菜有菠菜。,用户参考,food
KB0150,季节-冬,SF0025,冬,季节,冬,蔬菜,芥菜,冬季（12月-2月，农历十〜十二月）的应季蔬菜有芥菜。,用户参考,food
KB0151,季节-冬,SF0026,冬,季节,冬,蔬菜,葵年菜,冬季（12月-2月，农历十〜十二月）的应季蔬菜有葵年菜。,用户参考,food
KB0152,季节-冬,SF0027,冬,季节,冬,蔬菜,莴笋,冬季（12月-2月，农历十〜十二月）的应季蔬菜有莴笋。,用户参考,food
KB0153,季节-冬,SF0028,冬,季节,冬,蔬菜,油菜,冬季（12月-2月，农历十〜十二月）的应季蔬菜有油菜。,用户参考,food
KB0154,季节-冬,SF0029,冬,季节,冬,蔬菜,菜心,冬季（12月-2月，农历十〜十二月）的应季蔬菜有菜心。,用户参考,food
KB0155,季节-冬,SF0030,冬,季节,冬,蔬菜,芥蓝,冬季（12月-2月，农历十〜十二月）的应季蔬菜有芥蓝。,用户参考,food
KB0156,季节-冬,SF0031,冬,季节,冬,蔬菜,荸荠,冬季（12月-2月，农历十〜十二月）的应季蔬菜有荸荠。,用户参考,food
KB0157,季节-冬,SF0032,冬,季节,冬,蔬菜,莲藕,冬季（12月-2月，农历十〜十二月）的应季蔬菜有莲藕。,用户参考,food
KB0158,季节-冬,,冬,季节,冬,水果汇总,冬的水果,冬季（12月-2月，农历十〜十二月）的应季水果共 10 种：砂糖橘、橙子、沃柑、柚子、冬枣、雪莲果、甘蔗、橘子、青枣、释迦。冬季补肾，这样吃好体力！,用户参考,summary
KB0159,季节-冬,,冬,季节,冬,蔬菜汇总,冬的蔬菜,冬季（12月-2月，农历十〜十二月）的应季蔬菜共 22 种：大白菜、白萝卜、冬笋、娃娃菜、茼蒿、油麦菜、卷心菜、胡萝卜、青椒、洋葱、菜花、甜豌豆、芹菜、菠菜、芥菜、葵年菜、莴笋、油菜、菜心、芥蓝、荸荠、莲藕。冬季补肾，这样吃好体力！,用户参考,summary
KB0160,月份-01,SF0152,1月,月份,冬,水果,砂糖橘,1月的应季水果有砂糖橘。,用户参考,food
KB0161,月份-01,SF0153,1月,月份,冬,水果,沃柑,1月的应季水果有沃柑。,用户参考,food
KB0162,月份-01,SF0154,1月,月份,冬,水果,赣南脐橙,1月的应季水果有赣南脐橙。,用户参考,food
KB0163,月份-01,SF0155,1月,月份,冬,水果,猕猴桃,1月的应季水果有猕猴桃。,用户参考,food
KB0164,月份-01,SF0156,1月,月份,冬,水果,山楂,1月的应季水果有山楂。,用户参考,food
KB0165,月份-01,SF0157,1月,月份,冬,水果,甘蔗,1月的应季水果有甘蔗。,用户参考,food
KB0166,月份-01,SF0158,1月,月份,冬,蔬菜,大白菜,1月的应季蔬菜有大白菜。,用户参考,food
KB0167,月份-01,SF0159,1月,月份,冬,蔬菜,小白菜,1月的应季蔬菜有小白菜。,用户参考,food
KB0168,月份-01,SF0160,1月,月份,冬,蔬菜,菠菜,1月的应季蔬菜有菠菜。,用户参考,food
KB0169,月份-01,SF0161,1月,月份,冬,蔬菜,芹菜,1月的应季蔬菜有芹菜。,用户参考,food
KB0170,月份-01,SF0162,1月,月份,冬,蔬菜,白萝卜,1月的应季蔬菜有白萝卜。,用户参考,food
KB0171,月份-01,SF0163,1月,月份,冬,蔬菜,胡萝卜,1月的应季蔬菜有胡萝卜。,用户参考,food
KB0172,月份-01,SF0164,1月,月份,冬,蔬菜,卷心菜,1月的应季蔬菜有卷心菜。,用户参考,food
KB0173,月份-01,SF0165,1月,月份,冬,蔬菜,花菜,1月的应季蔬菜有花菜。,用户参考,food
KB0174,月份-01,SF0166,1月,月份,冬,蔬菜,茨菇,1月的应季蔬菜有茨菇。,用户参考,food
KB0175,月份-01,SF0167,1月,月份,冬,蔬菜,香菇,1月的应季蔬菜有香菇。,用户参考,food
KB0176,月份-01,,1月,月份,冬,水果汇总,1月的水果,1月的应季水果共 6 种：砂糖橘、沃柑、赣南脐橙、猕猴桃、山楂、甘蔗。,用户参考,summary
KB0177,月份-01,,1月,月份,冬,蔬菜汇总,1月的蔬菜,1月的应季蔬菜共 10 种：大白菜、小白菜、菠菜、芹菜、白萝卜、胡萝卜、卷心菜、花菜、茨菇、香菇。,用户参考,summary
KB0178,月份-02,SF0168,2月,月份,冬,水果,砂糖橘,2月的应季水果有砂糖橘。,用户参考,food
KB0179,月份-02,SF0169,2月,月份,冬,水果,沃柑,2月的应季水果有沃柑。,用户参考,food
KB0180,月份-02,SF0170,2月,月份,冬,水果,赣南脐橙,2月的应季水果有赣南脐橙。,用户参考,food
KB0181,月份-02,SF0171,2月,月份,冬,水果,猕猴桃,2月的应季水果有猕猴桃。,用户参考,food
KB0182,月份-02,SF0172,2月,月份,冬,水果,山楂,2月的应季水果有山楂。,用户参考,food
