id,calendar_id,level,time_name,season,category,name,note,recommendation_reason,source,entity_type,ingredient_id,core_ingredient_id,match_status,knowledge_json
SF0014,季节-冬,季节,冬,冬,蔬菜,娃娃菜,,,用户参考,ingredient,70,70,core_exact,"[""冬季（12月-2月，农历十〜十二月）的应季蔬菜有娃娃菜。""]"
SF0015,季节-冬,季节,冬,冬,蔬菜,茼蒿,,,用户参考,ingredient,257,257,core_exact,"[""冬季（12月-2月，农历十〜十二月）的应季蔬菜有茼蒿。""]"
SF0016,季节-冬,季节,冬,冬,蔬菜,油麦菜,,,用户参考,ingredient,168,168,core_exact,"[""冬季（12月-2月，农历十〜十二月）的应季蔬菜有油麦菜。""]"
SF0017,季节-冬,季节,冬,冬,蔬菜,卷心菜,,,用户参考,ingredient,76,76,core_exact,"[""冬季（12月-2月，农历十〜十二月）的应季蔬菜有卷心菜。""]"
SF0018,季节-冬,季节,冬,冬,蔬菜,胡萝卜,,,用户参考,ingredient,6,6,core_exact,"[""冬季（12月-2月，农历十〜十二月）的应季蔬菜有胡萝卜。""]"
SF0019,季节-冬,季节,冬,冬,蔬菜,青椒,,,用户参考,ingredient,11,11,core_exact,"[""冬季（12月-2月，农历十〜十二月）的应季蔬菜有青椒。""]"
SF0020,季节-冬,季节,冬,冬,蔬菜,洋葱,,,用户参考,ingredient,5,5,core_exact,"[""冬季（12月-2月，农历十〜十二月）的应季蔬菜有洋葱。""]"
SF0021,季节-冬,季节,冬,冬,蔬菜,菜花,,,用户参考,ingredient,208,208,core_exact,"[""冬季（12月-2月，农历十〜十二月）的应季蔬菜有菜花。""]"
SF0022,季节-冬,季节,冬,冬,蔬菜,甜豌豆,,,用户参考,ingredient,8071,,seasonal_catalog,"[""冬季（12月-2月，农历十〜十二月）的应季蔬菜有甜豌豆。""]"
SF0023,季节-冬,季节,冬,冬,蔬菜,芹菜,,,用户参考,ingredient,27,27,core_exact,"[""冬季（12月-2月，农历十〜十二月）的应季蔬菜有芹菜。""]"
SF0024,季节-冬,季节,冬,冬,蔬菜,菠菜,,,用户参考,ingredient,40,40,core_exact,"[""冬季（12月-2月，农历十〜十二月）的应季蔬菜有菠菜。""]"
SF0025,季节-冬,季节,冬,冬,蔬菜,芥菜,,,用户参考,ingredient,256,256,core_exact,"[""冬季（12月-2月，农历十〜十二月）的应季蔬菜有芥菜。""]"
SF0026,季节-冬,季节,冬,冬,蔬菜,葵年菜,,,用户参考,ingredient,8078,,seasonal_catalog,"[""冬季（12月-2月，农历十〜十二月）的应季蔬菜有葵年菜。""]"
SF0027,季节-冬,季节,冬,冬,蔬菜,莴笋,,,用户参考,ingredient,145,145,core_exact,"[""冬季（12月-2月，农历十〜十二月）的应季蔬菜有莴笋。""]"
SF0028,季节-冬,季节,冬,冬,蔬菜,油菜,,,用户参考,ingredient,44,44,core_exact,"[""冬季（12月-2月，农历十〜十二月）的应季蔬菜有油菜。""]"
SF0029,季节-冬,季节,冬,冬,蔬菜,菜心,,,用户参考,ingredient,165,165,core_exact,"[""冬季（12月-2月，农历十〜十二月）的应季蔬菜有菜心。""]"
SF0030,季节-冬,季节,冬,冬,蔬菜,芥蓝,,,用户参考,ingredient,352,352,core_exact,"[""冬季（12月-2月，农历十〜十二月）的应季蔬菜有芥蓝。""]"
SF0031,季节-冬,季节,冬,冬,蔬菜,荸荠,,,用户参考,ingredient,302,302,core_exact,"[""冬季（12月-2月，农历十〜十二月）的应季蔬菜有荸荠。""]"
SF0032,季节-冬,季节,冬,冬,蔬菜,莲藕,,,用户参考,ingredient,96,96,core_exact,"[""冬季（12月-2月，农历十〜十二月）的应季蔬菜有莲藕。""]"
SF0033,季节-夏,季节,夏,夏,水果,西瓜,,,用户参考,ingredient,160,160,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季水果有西瓜。""]"
SF0034,季节-夏,季节,夏,夏,水果,桃子,,,用户参考,ingredient,267,267,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季水果有桃子。""]"
SF0035,季节-夏,季节,夏,夏,水果,李子,,,用户参考,ingredient,388,388,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季水果有李子。""]"
SF0036,季节-夏,季节,夏,夏,水果,杏子,,,用户参考,ingredient,8066,,seasonal_catalog,"[""夏季（6月-8月，农历四〜六月）的应季水果有杏子。""]"
SF0037,季节-夏,季节,夏,夏,水果,葡萄,,,用户参考,ingredient,124,124,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季水果有葡萄。""]"
SF0038,季节-夏,季节,夏,夏,水果,荔枝,,,用户参考,ingredient,233,233,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季水果有荔枝。""]"
SF0039,季节-夏,季节,夏,夏,水果,龙眼,,,用户参考,ingredient,8087,,seasonal_catalog,"[""夏季（6月-8月，农历四〜六月）的应季水果有龙眼。""]"
SF0040,季节-夏,季节,夏,夏,水果,芒果,,,用户参考,ingredient,42,42,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季水果有芒果。""]"
SF0041,季节-夏,季节,夏,夏,水果,哈密瓜,,,用户参考,ingredient,240,240,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季水果有哈密瓜。""]"
SF0042,季节-夏,季节,夏,夏,水果,香瓜,,,用户参考,ingredient,444,444,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季水果有香瓜。""]"
SF0043,季节-夏,季节,夏,夏,水果,草莓,,,用户参考,ingredient,43,43,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季水果有草莓。""]"
SF0044,季节-夏,季节,夏,夏,水果,莲雾,,,用户参考,ingredient,8076,,seasonal_catalog,"[""夏季（6月-8月，农历四〜六月）的应季水果有莲雾。""]"
SF0045,季节-夏,季节,夏,夏,水果,菠萝,,,用户参考,ingredient,67,67,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季水果有菠萝。""]"
SF0046,季节-夏,季节,夏,夏,水果,柠檬,,,用户参考,ingredient,22,22,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季水果有柠檬。""]"
SF0047,季节-夏,季节,夏,夏,水果,百香果,,,用户参考,ingredient,120,120,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季水果有百香果。""]"
SF0048,季节-夏,季节,夏,夏,水果,火龙果,,,用户参考,ingredient,100,100,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季水果有火龙果。""]"
SF0049,季节-夏,季节,夏,夏,水果,猕猴桃,,,用户参考,ingredient,166,166,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季水果有猕猴桃。""]"
SF0050,季节-夏,季节,夏,夏,水果,香蕉,,,用户参考,ingredient,61,61,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季水果有香蕉。""]"
SF0051,季节-夏,季节,夏,夏,水果,椰子,,,用户参考,ingredient,170,170,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季水果有椰子。""]"
SF0052,季节-夏,季节,夏,夏,水果,樱桃,,,用户参考,ingredient,135,135,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季水果有樱桃。""]"
SF0053,季节-夏,季节,夏,夏,蔬菜,冬瓜,,,用户参考,ingredient,108,108,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季蔬菜有冬瓜。""]"
SF0054,季节-夏,季节,夏,夏,蔬菜,丝瓜,,,用户参考,ingredient,254,254,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季蔬菜有丝瓜。""]"
SF0055,季节-夏,季节,夏,夏,蔬菜,苦瓜,,,用户参考,ingredient,265,265,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季蔬菜有苦瓜。""]"
SF0056,季节-夏,季节,夏,夏,蔬菜,黄瓜,,,用户参考,ingredient,19,19,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季蔬菜有黄瓜。""]"
SF0057,季节-夏,季节,夏,夏,蔬菜,空心菜,,,用户参考,ingredient,264,264,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季蔬菜有空心菜。""]"
SF0058,季节-夏,季节,夏,夏,蔬菜,豆角,,,用户参考,ingredient,84,84,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季蔬菜有豆角。""]"
SF0059,季节-夏,季节,夏,夏,蔬菜,茄子,,,用户参考,ingredient,110,110,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季蔬菜有茄子。""]"
SF0060,季节-夏,季节,夏,夏,蔬菜,番茄,,,用户参考,ingredient,14,14,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季蔬菜有番茄。""]"
SF0061,季节-夏,季节,夏,夏,蔬菜,毛豆,,,用户参考,ingredient,129,129,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季蔬菜有毛豆。""]"
SF0062,季节-夏,季节,夏,夏,蔬菜,莲藕,,,用户参考,ingredient,96,96,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季蔬菜有莲藕。""]"
SF0063,季节-夏,季节,夏,夏,蔬菜,生菜,,,用户参考,ingredient,31,31,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季蔬菜有生菜。""]"
SF0064,季节-夏,季节,夏,夏,蔬菜,辣椒,,,用户参考,ingredient,17,17,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季蔬菜有辣椒。""]"
SF0065,季节-夏,季节,夏,夏,蔬菜,四季豆,,,用户参考,ingredient,136,136,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季蔬菜有四季豆。""]"
SF0066,季节-夏,季节,夏,夏,蔬菜,芦笋,,,用户参考,ingredient,104,104,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季蔬菜有芦笋。""]"
SF0067,季节-夏,季节,夏,夏,蔬菜,茭白,,,用户参考,ingredient,362,362,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季蔬菜有茭白。""]"
SF0068,季节-夏,季节,夏,夏,蔬菜,洋葱,,,用户参考,ingredient,5,5,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季蔬菜有洋葱。""]"
SF0069,季节-夏,季节,夏,夏,蔬菜,佛手瓜,,,用户参考,ingredient,436,436,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季蔬菜有佛手瓜。""]"
SF0070,季节-夏,季节,夏,夏,蔬菜,南瓜,,,用户参考,ingredient,30,30,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季蔬菜有南瓜。""]"
SF0071,季节-夏,季节,夏,夏,蔬菜,苋菜,,,用户参考,ingredient,327,327,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季蔬菜有苋菜。""]"
SF0072,季节-夏,季节,夏,夏,蔬菜,山苏,,,用户参考,ingredient,8065,,seasonal_catalog,"[""夏季（6月-8月，农历四〜六月）的应季蔬菜有山苏。""]"
SF0073,季节-夏,季节,夏,夏,蔬菜,龙须菜,,,用户参考,ingredient,519,519,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季蔬菜有龙须菜。""]"
SF0074,季节-夏,季节,夏,夏,蔬菜,红薯叶,,,用户参考,ingredient,474,474,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季蔬菜有红薯叶。""]"
SF0075,季节-夏,季节,夏,夏,蔬菜,竹笋,,,用户参考,ingredient,282,282,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季蔬菜有竹笋。""]"
SF0076,季节-夏,季节,夏,夏,蔬菜,卷心菜,,,用户参考,ingredient,76,76,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季蔬菜有卷心菜。""]"
SF0077,季节-夏,季节,夏,夏,蔬菜,豇豆,,,用户参考,ingredient,151,151,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季蔬菜有豇豆。""]"
SF0078,季节-夏,季节,夏,夏,蔬菜,蚕豆,,,用户参考,ingredient,284,284,core_exact,"[""夏季（6月-8月，农历四〜六月）的应季蔬菜有蚕豆。""]"
SF0079,季节-春,季节,春,春,水果,草莓,,,用户参考,ingredient,43,43,core_exact,"[""春季（3月-5月，农历一〜三月）的应季水果有草莓。""]"
SF0080,季节-春,季节,春,春,水果,樱桃,,,用户参考,ingredient,135,135,core_exact,"[""春季（3月-5月，农历一〜三月）的应季水果有樱桃。""]"
SF0081,季节-春,季节,春,春,水果,枇杷,,,用户参考,ingredient,353,353,core_exact,"[""春季（3月-5月，农历一〜三月）的应季水果有枇杷。""]"
SF0082,季节-春,季节,春,春,水果,桑葚,,,用户参考,ingredient,303,303,core_exact,"[""春季（3月-5月，农历一〜三月）的应季水果有桑葚。""]"
SF0083,季节-春,季节,春,春,水果,青梅,,,用户参考,ingredient,366,366,core_exact,"[""春季（3月-5月，农历一〜三月）的应季水果有青梅。""]"
SF0084,季节-春,季节,春,春,水果,油桃,,,用户参考,ingredient,4122,,catalog_exact,"[""春季（3月-5月，农历一〜三月）的应季水果有油桃。""]"
SF0085,季节-春,季节,春,春,水果,番石榴,,,用户参考,ingredient,443,443,core_exact,"[""春季（3月-5月，农历一〜三月）的应季水果有番石榴。""]"
SF0086,季节-春,季节,春,春,水果,青枣,,,用户参考,ingredient,8085,,seasonal_catalog,"[""春季（3月-5月，农历一〜三月）的应季水果有青枣。""]"
SF0087,季节-春,季节,春,春,水果,莲雾,春末,,用户参考,ingredient,8076,,seasonal_catalog,"[""春季（3月-5月，农历一〜三月）的应季水果有莲雾（春末）。""]"
SF0088,季节-春,季节,春,春,蔬菜,春笋,,,用户参考,ingredient,220,220,core_exact,"[""春季（3月-5月，农历一〜三月）的应季蔬菜有春笋。""]"
SF0089,季节-春,季节,春,春,蔬菜,韭菜,,,用户参考,ingredient,48,48,core_exact,"[""春季（3月-5月，农历一〜三月）的应季蔬菜有韭菜。""]"
SF0090,季节-春,季节,春,春,蔬菜,荠菜,,,用户参考,ingredient,266,266,core_exact,"[""春季（3月-5月，农历一〜三月）的应季蔬菜有荠菜。""]"
SF0091,季节-春,季节,春,春,蔬菜,菠菜,,,用户参考,ingredient,40,40,core_exact,"[""春季（3月-5月，农历一〜三月）的应季蔬菜有菠菜。""]"
SF0092,季节-春,季节,春,春,蔬菜,芹菜,,,用户参考,ingredient,27,27,core_exact,"[""春季（3月-5月，农历一〜三月）的应季蔬菜有芹菜。""]"
SF0093,季节-春,季节,春,春,蔬菜,莴笋,,,用户参考,ingredient,145,145,core_exact,"[""春季（3月-5月，农历一〜三月）的应季蔬菜有莴笋。""]"
SF0094,季节-春,季节,春,春,蔬菜,香椿,,,用户参考,ingredient,337,337,core_exact,"[""春季（3月-5月，农历一〜三月）的应季蔬菜有香椿。""]"
SF0095,季节-春,季节,春,春,蔬菜,蒜苗,,,用户参考,ingredient,80,80,core_exact,"[""春季（3月-5月，农历一〜三月）的应季蔬菜有蒜苗。""]"
SF0096,季节-春,季节,春,春,蔬菜,豌豆,,,用户参考,ingredient,60,60,core_exact,"[""春季（3月-5月，农历一〜三月）的应季蔬菜有豌豆。""]"
SF0097,季节-春,季节,春,春,蔬菜,茼蒿,,,用户参考,ingredient,257,257,core_exact,"[""春季（3月-5月，农历一〜三月）的应季蔬菜有茼蒿。""]"
SF0098,季节-春,季节,春,春,蔬菜,油菜,,,用户参考,ingredient,44,44,core_exact,"[""春季（3月-5月，农历一〜三月）的应季蔬菜有油菜。""]"
SF0099,季节-春,季节,春,春,蔬菜,辣椒,,,用户参考,ingredient,17,17,core_exact,"[""春季（3月-5月，农历一〜三月）的应季蔬菜有辣椒。""]"
SF0100,季节-春,季节,春,春,蔬菜,青椒,,,用户参考,ingredient,11,11,core_exact,"[""春季（3月-5月，农历一〜三月）的应季蔬菜有青椒。""]"
SF0101,季节-春,季节,春,春,蔬菜,彩椒,,,用户参考,ingredient,74,74,core_exact,"[""春季（3月-5月，农历一〜三月）的应季蔬菜有彩椒。""]"
SF0102,季节-春,季节,春,春,蔬菜,洋葱,,,用户参考,ingredient,5,5,core_exact,"[""春季（3月-5月，农历一〜三月）的应季蔬菜有洋葱。""]"
SF0103,季节-春,季节,春,春,蔬菜,菜花,,,用户参考,ingredient,208,208,core_exact,"[""春季（3月-5月，农历一〜三月）的应季蔬菜有菜花。""]"
SF0104,季节-春,季节,春,春,蔬菜,甜豌豆,,,用户参考,ingredient,8071,,seasonal_catalog,"[""春季（3月-5月，农历一〜三月）的应季蔬菜有甜豌豆。""]"
SF0105,季节-春,季节,春,春,蔬菜,马兰头,,,用户参考,ingredient,377,377,core_exact,"[""春季（3月-5月，农历一〜三月）的应季蔬菜有马兰头。""]"
SF0106,季节-春,季节,春,春,蔬菜,瓠子,,,用户参考,ingredient,8069,,seasonal_catalog,"[""春季（3月-5月，农历一〜三月）的应季蔬菜有瓠子。""]"
SF0107,季节-春,季节,春,春,蔬菜,菜心,,,用户参考,ingredient,165,165,core_exact,"[""春季（3月-5月，农历一〜三月）的应季蔬菜有菜心。""]"
SF0108,季节-春,季节,春,春,蔬菜,豌豆苗,,,用户参考,ingredient,440,440,core_exact,"[""春季（3月-5月，农历一〜三月）的应季蔬菜有豌豆苗。""]"
SF0109,季节-秋,季节,秋,秋,水果,梨,,,用户参考,ingredient,3899,,catalog_exact,"[""秋季（9月-11月，农历七〜九月）的应季水果有梨。""]"
SF0110,季节-秋,季节,秋,秋,水果,苹果,,,用户参考,ingredient,56,56,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季水果有苹果。""]"
SF0111,季节-秋,季节,秋,秋,水果,石榴,,,用户参考,ingredient,314,314,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季水果有石榴。""]"
SF0112,季节-秋,季节,秋,秋,水果,柚子,,,用户参考,ingredient,223,223,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季水果有柚子。""]"
SF0113,季节-秋,季节,秋,秋,水果,橘子,,,用户参考,ingredient,214,214,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季水果有橘子。""]"
SF0114,季节-秋,季节,秋,秋,水果,冬枣,,,用户参考,ingredient,520,520,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季水果有冬枣。""]"
SF0115,季节-秋,季节,秋,秋,水果,猕猴桃,,,用户参考,ingredient,166,166,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季水果有猕猴桃。""]"
SF0116,季节-秋,季节,秋,秋,水果,柿子,,,用户参考,ingredient,3855,,catalog_exact,"[""秋季（9月-11月，农历七〜九月）的应季水果有柿子。""]"
SF0117,季节-秋,季节,秋,秋,水果,木瓜,,,用户参考,ingredient,195,195,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季水果有木瓜。""]"
SF0118,季节-秋,季节,秋,秋,水果,莲子,,,用户参考,ingredient,122,122,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季水果有莲子。""]"
SF0119,季节-秋,季节,秋,秋,水果,甘蔗,,,用户参考,ingredient,8070,,seasonal_catalog,"[""秋季（9月-11月，农历七〜九月）的应季水果有甘蔗。""]"
SF0120,季节-秋,季节,秋,秋,水果,葡萄,,,用户参考,ingredient,124,124,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季水果有葡萄。""]"
SF0121,季节-秋,季节,秋,秋,水果,火龙果,,,用户参考,ingredient,100,100,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季水果有火龙果。""]"
SF0122,季节-秋,季节,秋,秋,水果,杨桃,,,用户参考,ingredient,419,419,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季水果有杨桃。""]"
SF0123,季节-秋,季节,秋,秋,水果,番石榴,,,用户参考,ingredient,443,443,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季水果有番石榴。""]"
SF0124,季节-秋,季节,秋,秋,水果,杏子,,,用户参考,ingredient,8066,,seasonal_catalog,"[""秋季（9月-11月，农历七〜九月）的应季水果有杏子。""]"
SF0125,季节-秋,季节,秋,秋,水果,红枣,,,用户参考,ingredient,21,21,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季水果有红枣。""]"
SF0126,季节-秋,季节,秋,秋,水果,山楂,,,用户参考,ingredient,3019,,catalog_exact,"[""秋季（9月-11月，农历七〜九月）的应季水果有山楂。""]"
SF0127,季节-秋,季节,秋,秋,水果,核桃,,,用户参考,ingredient,38,38,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季水果有核桃。""]"
SF0128,季节-秋,季节,秋,秋,蔬菜,白萝卜,,,用户参考,ingredient,63,63,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季蔬菜有白萝卜。""]"
SF0129,季节-秋,季节,秋,秋,蔬菜,大白菜,,,用户参考,ingredient,158,158,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季蔬菜有大白菜。""]"
SF0130,季节-秋,季节,秋,秋,蔬菜,山药,,,用户参考,ingredient,85,85,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季蔬菜有山药。""]"
SF0131,季节-秋,季节,秋,秋,蔬菜,莲藕,,,用户参考,ingredient,96,96,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季蔬菜有莲藕。""]"
SF0132,季节-秋,季节,秋,秋,蔬菜,西兰花,,,用户参考,ingredient,53,53,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季蔬菜有西兰花。""]"
SF0133,季节-秋,季节,秋,秋,蔬菜,娃娃菜,,,用户参考,ingredient,70,70,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季蔬菜有娃娃菜。""]"
SF0134,季节-秋,季节,秋,秋,蔬菜,秋葵,,,用户参考,ingredient,142,142,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季蔬菜有秋葵。""]"
SF0135,季节-秋,季节,秋,秋,蔬菜,茨菇,,,用户参考,ingredient,6174,,catalog_exact,"[""秋季（9月-11月，农历七〜九月）的应季蔬菜有茨菇。""]"
SF0136,季节-秋,季节,秋,秋,蔬菜,南瓜,,,用户参考,ingredient,30,30,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季蔬菜有南瓜。""]"
SF0137,季节-秋,季节,秋,秋,蔬菜,菱角,,,用户参考,ingredient,559,559,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季蔬菜有菱角。""]"
SF0138,季节-秋,季节,秋,秋,蔬菜,辣椒,,,用户参考,ingredient,17,17,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季蔬菜有辣椒。""]"
SF0139,季节-秋,季节,秋,秋,蔬菜,栗子,,,用户参考,ingredient,116,116,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季蔬菜有栗子。""]"
SF0140,季节-秋,季节,秋,秋,蔬菜,冬瓜,,,用户参考,ingredient,108,108,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季蔬菜有冬瓜。""]"
SF0141,季节-秋,季节,秋,秋,蔬菜,四季豆,芸豆,,用户参考,ingredient,136,136,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季蔬菜有四季豆（芸豆）。""]"
SF0142,季节-秋,季节,秋,秋,蔬菜,红薯叶,,,用户参考,ingredient,474,474,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季蔬菜有红薯叶。""]"
SF0143,季节-秋,季节,秋,秋,蔬菜,豆角,,,用户参考,ingredient,84,84,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季蔬菜有豆角。""]"
SF0144,季节-秋,季节,秋,秋,蔬菜,扁豆,,,用户参考,ingredient,227,227,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季蔬菜有扁豆。""]"
SF0145,季节-秋,季节,秋,秋,蔬菜,菜花,,,用户参考,ingredient,208,208,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季蔬菜有菜花。""]"
SF0146,季节-秋,季节,秋,秋,蔬菜,胡萝卜,,,用户参考,ingredient,6,6,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季蔬菜有胡萝卜。""]"
SF0147,季节-秋,季节,秋,秋,蔬菜,葱,,,用户参考,ingredient,1,1,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季蔬菜有葱。""]"
SF0148,季节-秋,季节,秋,秋,蔬菜,黄瓜,,,用户参考,ingredient,19,19,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季蔬菜有黄瓜。""]"
SF0149,季节-秋,季节,秋,秋,蔬菜,番茄,,,用户参考,ingredient,14,14,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季蔬菜有番茄。""]"
SF0150,季节-秋,季节,秋,秋,蔬菜,茄子,,,用户参考,ingredient,110,110,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季蔬菜有茄子。""]"
SF0151,季节-秋,季节,秋,秋,蔬菜,百合,,,用户参考,ingredient,229,229,core_exact,"[""秋季（9月-11月，农历七〜九月）的应季蔬菜有百合。""]"
SF0152,月份-01,月份,1月,冬,水果,砂糖橘,,,用户参考,ingredient,8073,,seasonal_catalog,"[""1月的应季水果有砂糖橘。""]"
SF0153,月份-01,月份,1月,冬,水果,沃柑,,,用户参考,ingredient,8068,,seasonal_catalog,"[""1月的应季水果有沃柑。""]"
SF0154,月份-01,月份,1月,冬,水果,赣南脐橙,,,用户参考,ingredient,8081,,seasonal_catalog,"[""1月的应季水果有赣南脐橙。""]"
SF0155,月份-01,月份,1月,冬,水果,猕猴桃,,,用户参考,ingredient,166,166,core_exact,"[""1月的应季水果有猕猴桃。""]"
SF0156,月份-01,月份,1月,冬,水果,山楂,,,用户参考,ingredient,3019,,catalog_exact,"[""1月的应季水果有山楂。""]"
SF0157,月份-01,月份,1月,冬,水果,甘蔗,,,用户参考,ingredient,8070,,seasonal_catalog,"[""1月的应季水果有甘蔗。""]"
