id,时间,层级,所属季节,类别,名称,内容,数据来源
KB0022,春,季节,春,蔬菜,青椒,春季（3月-5月，农历一〜三月）的应季蔬菜有青椒。,用户参考
KB0023,春,季节,春,蔬菜,彩椒,春季（3月-5月，农历一〜三月）的应季蔬菜有彩椒。,用户参考
KB0024,春,季节,春,蔬菜,洋葱,春季（3月-5月，农历一〜三月）的应季蔬菜有洋葱。,用户参考
KB0025,春,季节,春,蔬菜,菜花,春季（3月-5月，农历一〜三月）的应季蔬菜有菜花。,用户参考
KB0026,春,季节,春,蔬菜,甜豌豆,春季（3月-5月，农历一〜三月）的应季蔬菜有甜豌豆。,用户参考
KB0027,春,季节,春,蔬菜,马兰头,春季（3月-5月，农历一〜三月）的应季蔬菜有马兰头。,用户参考
KB0028,春,季节,春,蔬菜,瓠子,春季（3月-5月，农历一〜三月）的应季蔬菜有瓠子。,用户参考
KB0029,春,季节,春,蔬菜,菜心,春季（3月-5月，农历一〜三月）的应季蔬菜有菜心。,用户参考
KB0030,春,季节,春,蔬菜,豌豆苗,春季（3月-5月，农历一〜三月）的应季蔬菜有豌豆苗。,用户参考
KB0031,春,季节,春,水果汇总,春的水果,春季（3月-5月，农历一〜三月）的应季水果共 9 种：草莓、樱桃、枇杷、桑葚、青梅、油桃、番石榴、青枣、莲雾（春末）。春季养肝，这样吃解春困！,用户参考
KB0032,春,季节,春,蔬菜汇总,春的蔬菜,春季（3月-5月，农历一〜三月）的应季蔬菜共 21 种：春笋、韭菜、荠菜、菠菜、芹菜、莴笋、香椿、蒜苗、豌豆、茼蒿、油菜、辣椒、青椒、彩椒、洋葱、菜花、甜豌豆、马兰头、瓠子、菜心、豌豆苗。春季养肝，这样吃解春困！,用户参考
KB0033,夏,季节,夏,水果,西瓜,夏季（6月-8月，农历四〜六月）的应季水果有西瓜。,用户参考
KB0034,夏,季节,夏,水果,桃子,夏季（6月-8月，农历四〜六月）的应季水果有桃子。,用户参考
KB0035,夏,季节,夏,水果,李子,夏季（6月-8月，农历四〜六月）的应季水果有李子。,用户参考
KB0036,夏,季节,夏,水果,杏子,夏季（6月-8月，农历四〜六月）的应季水果有杏子。,用户参考
KB0037,夏,季节,夏,水果,葡萄,夏季（6月-8月，农历四〜六月）的应季水果有葡萄。,用户参考
KB0038,夏,季节,夏,水果,荔枝,夏季（6月-8月，农历四〜六月）的应季水果有荔枝。,用户参考
KB0039,夏,季节,夏,水果,龙眼,夏季（6月-8月，农历四〜六月）的应季水果有龙眼。,用户参考
KB0040,夏,季节,夏,水果,芒果,夏季（6月-8月，农历四〜六月）的应季水果有芒果。,用户参考
KB0041,夏,季节,夏,水果,哈密瓜,夏季（6月-8月，农历四〜六月）的应季水果有哈密瓜。,用户参考
KB0042,夏,季节,夏,水果,香瓜,夏季（6月-8月，农历四〜六月）的应季水果有香瓜。,用户参考
KB0043,夏,季节,夏,水果,草莓,夏季（6月-8月，农历四〜六月）的应季水果有草莓。,用户参考
KB0044,夏,季节,夏,水果,莲雾,夏季（6月-8月，农历四〜六月）的应季水果有莲雾。,用户参考
KB0045,夏,季节,夏,水果,菠萝,夏季（6月-8月，农历四〜六月）的应季水果有菠萝。,用户参考
KB0046,夏,季节,夏,水果,柠檬,夏季（6月-8月，农历四〜六月）的应季水果有柠檬。,用户参考
KB0047,夏,季节,夏,水果,百香果,夏季（6月-8月，农历四〜六月）的应季水果有百香果。,用户参考
KB0048,夏,季节,夏,水果,火龙果,夏季（6月-8月，农历四〜六月）的应季水果有火龙果。,用户参考
KB0049,夏,季节,夏,水果,猕猴桃,夏季（6月-8月，农历四〜六月）的应季水果有猕猴桃。,用户参考
KB0050,夏,季节,夏,水果,香蕉,夏季（6月-8月，农历四〜六月）的应季水果有香蕉。,用户参考
KB0051,夏,季节,夏,水果,椰子,夏季（6月-8月，农历四〜六月）的应季水果有椰子。,用户参考
KB0052,夏,季节,夏,水果,樱桃,夏季（6月-8月，农历四〜六月）的应季水果有樱桃。,用户参考
KB0053,夏,季节,夏,蔬菜,冬瓜,夏季（6月-8月，农历四〜六月）的应季蔬菜有冬瓜。,用户参考
KB0054,夏,季节,夏,蔬菜,丝瓜,夏季（6月-8月，农历四〜六月）的应季蔬菜有丝瓜。,用户参考
KB0055,夏,季节,夏,蔬菜,苦瓜,夏季（6月-8月，农历四〜六月）的应季蔬菜有苦瓜。,用户参考
KB0056,夏,季节,夏,蔬菜,黄瓜,夏季（6月-8月，农历四〜六月）的应季蔬菜有黄瓜。,用户参考
KB0057,夏,季节,夏,蔬菜,空心菜,夏季（6月-8月，农历四〜六月）的应季蔬菜有空心菜。,用户参考
KB0058,夏,季节,夏,蔬菜,豆角,夏季（6月-8月，农历四〜六月）的应季蔬菜有豆角。,用户参考
KB0059,夏,季节,夏,蔬菜,茄子,夏季（6月-8月，农历四〜六月）的应季蔬菜有茄子。,用户参考
KB0060,夏,季节,夏,蔬菜,番茄,夏季（6月-8月，农历四〜六月）的应季蔬菜有番茄。,用户参考
KB0061,夏,季节,夏,蔬菜,毛豆,夏季（6月-8月，农历四〜六月）的应季蔬菜有毛豆。,用户参考
KB0062,夏,季节,夏,蔬菜,莲藕,夏季（6月-8月，农历四〜六月）的应季蔬菜有莲藕。,用户参考
KB0063,夏,季节,夏,蔬菜,生菜,夏季（6月-8月，农历四〜六月）的应季蔬菜有生菜。,用户参考
KB0064,夏,季节,夏,蔬菜,辣椒,夏季（6月-8月，农历四〜六月）的应季蔬菜有辣椒。,用户参考
KB0065,夏,季节,夏,蔬菜,四季豆,夏季（6月-8月，农历四〜六月）的应季蔬菜有四季豆。,用户参考
KB0066,夏,季节,夏,蔬菜,芦笋,夏季（6月-8月，农历四〜六月）的应季蔬菜有芦笋。,用户参考
KB0067,夏,季节,夏,蔬菜,茭白,夏季（6月-8月，农历四〜六月）的应季蔬菜有茭白。,用户参考
KB0068,夏,季节,夏,蔬菜,洋葱,夏季（6月-8月，农历四〜六月）的应季蔬菜有洋葱。,用户参考
KB0069,夏,季节,夏,蔬菜,佛手瓜,夏季（6月-8月，农历四〜六月）的应季蔬菜有佛手瓜。,用户参考
KB0070,夏,季节,夏,蔬菜,南瓜,夏季（6月-8月，农历四〜六月）的应季蔬菜有南瓜。,用户参考
KB0071,夏,季节,夏,蔬菜,苋菜,夏季（6月-8月，农历四〜六月）的应季蔬菜有苋菜。,用户参考
KB0072,夏,季节,夏,蔬菜,山苏,夏季（6月-8月，农历四〜六月）的应季蔬菜有山苏。,用户参考
KB0073,夏,季节,夏,蔬菜,龙须菜,夏季（6月-8月，农历四〜六月）的应季蔬菜有龙须菜。,用户参考
KB0074,夏,季节,夏,蔬菜,红薯叶,夏季（6月-8月，农历四〜六月）的应季蔬菜有红薯叶。,用户参考
KB0075,夏,季节,夏,蔬菜,竹笋,夏季（6月-8月，农历四〜六月）的应季蔬菜有竹笋。,用户参考
KB0076,夏,季节,夏,蔬菜,卷心菜,夏季（6月-8月，农历四〜六月）的应季蔬菜有卷心菜。,用户参考
KB0077,夏,季节,夏,蔬菜,豇豆,夏季（6月-8月，农历四〜六月）的应季蔬菜有豇豆。,用户参考
KB0078,夏,季节,夏,蔬菜,蚕豆,夏季（6月-8月，农历四〜六月）的应季蔬菜有蚕豆。,用户参考
KB0079,夏,季节,夏,水果汇总,夏的水果,夏季（6月-8月，农历四〜六月）的应季水果共 20 种：西瓜、桃子、李子、杏子、葡萄、荔枝、龙眼、芒果、哈密瓜、香瓜、草莓、莲雾、菠萝、柠檬、百香果、火龙果、猕猴桃、香蕉、椰子、樱桃。夏季养心，这样吃消火气！,用户参考
KB0080,夏,季节,夏,蔬菜汇总,夏的蔬菜,夏季（6月-8月，农历四〜六月）的应季蔬菜共 26 种：冬瓜、丝瓜、苦瓜、黄瓜、空心菜、豆角、茄子、番茄、毛豆、莲藕、生菜、辣椒、四季豆、芦笋、茭白、洋葱、佛手瓜、南瓜、苋菜、山苏、龙须菜、红薯叶、竹笋、卷心菜、豇豆、蚕豆。夏季养心，这样吃消火气！,用户参考
KB0081,秋,季节,秋,水果,梨,秋季（9月-11月，农历七〜九月）的应季水果有梨。,用户参考
KB0082,秋,季节,秋,水果,苹果,秋季（9月-11月，农历七〜九月）的应季水果有苹果。,用户参考
KB0083,秋,季节,秋,水果,石榴,秋季（9月-11月，农历七〜九月）的应季水果有石榴。,用户参考
KB0084,秋,季节,秋,水果,柚子,秋季（9月-11月，农历七〜九月）的应季水果有柚子。,用户参考
KB0085,秋,季节,秋,水果,橘子,秋季（9月-11月，农历七〜九月）的应季水果有橘子。,用户参考
KB0086,秋,季节,秋,水果,冬枣,秋季（9月-11月，农历七〜九月）的应季水果有冬枣。,用户参考
KB0087,秋,季节,秋,水果,猕猴桃,秋季（9月-11月，农历七〜九月）的应季水果有猕猴桃。,用户参考
KB0088,秋,季节,秋,水果,柿子,秋季（9月-11月，农历七〜九月）的应季水果有柿子。,用户参考
KB0089,秋,季节,秋,水果,木瓜,秋季（9月-11月，农历七〜九月）的应季水果有木瓜。,用户参考
KB0090,秋,季节,秋,水果,莲子,秋季（9月-11月，农历七〜九月）的应季水果有莲子。,用户参考
KB0091,秋,季节,秋,水果,甘蔗,秋季（9月-11月，农历七〜九月）的应季水果有甘蔗。,用户参考
KB0092,秋,季节,秋,水果,葡萄,秋季（9月-11月，农历七〜九月）的应季水果有葡萄。,用户参考
KB0093,秋,季节,秋,水果,火龙果,秋季（9月-11月，农历七〜九月）的应季水果有火龙果。,用户参考
KB0094,秋,季节,秋,水果,杨桃,秋季（9月-11月，农历七〜九月）的应季水果有杨桃。,用户参考
KB0095,秋,季节,秋,水果,番石榴,秋季（9月-11月，农历七〜九月）的应季水果有番石榴。,用户参考
KB0096,秋,季节,秋,水果,杏子,秋季（9月-11月，农历七〜九月）的应季水果有杏子。,用户参考
KB0097,秋,季节,秋,水果,红枣,秋季（9月-11月，农历七〜九月）的应季水果有红枣。,用户参考
KB0098,秋,季节,秋,水果,山楂,秋季（9月-11月，农历七〜九月）的应季水果有山楂。,用户参考
KB0099,秋,季节,秋,水果,核桃,秋季（9月-11月，农历七〜九月）的应季水果有核桃。,用户参考
KB0100,秋,季节,秋,蔬菜,白萝卜,秋季（9月-11月，农历七〜九月）的应季蔬菜有白萝卜。,用户参考
KB0101,秋,季节,秋,蔬菜,大白菜,秋季（9月-11月，农历七〜九月）的应季蔬菜有大白菜。,用户参考
KB0102,秋,季节,秋,蔬菜,山药,秋季（9月-11月，农历七〜九月）的应季蔬菜有山药。,用户参考
KB0103,秋,季节,秋,蔬菜,莲藕,秋季（9月-11月，农历七〜九月）的应季蔬菜有莲藕。,用户参考
KB0104,秋,季节,秋,蔬菜,西兰花,秋季（9月-11月，农历七〜九月）的应季蔬菜有西兰花。,用户参考
KB0105,秋,季节,秋,蔬菜,娃娃菜,秋季（9月-11月，农历七〜九月）的应季蔬菜有娃娃菜。,用户参考
KB0106,秋,季节,秋,蔬菜,秋葵,秋季（9月-11月，农历七〜九月）的应季蔬菜有秋葵。,用户参考
KB0107,秋,季节,秋,蔬菜,茨菇,秋季（9月-11月，农历七〜九月）的应季蔬菜有茨菇。,用户参考
KB0108,秋,季节,秋,蔬菜,南瓜,秋季（9月-11月，农历七〜九月）的应季蔬菜有南瓜。,用户参考
KB0109,秋,季节,秋,蔬菜,菱角,秋季（9月-11月，农历七〜九月）的应季蔬菜有菱角。,用户参考
KB0110,秋,季节,秋,蔬菜,辣椒,秋季（9月-11月，农历七〜九月）的应季蔬菜有辣椒。,用户参考
KB0111,秋,季节,秋,蔬菜,栗子,秋季（9月-11月，农历七〜九月）的应季蔬菜有栗子。,用户参考
KB0112,秋,季节,秋,蔬菜,冬瓜,秋季（9月-11月，农历七〜九月）的应季蔬菜有冬瓜。,用户参考
KB0113,秋,季节,秋,蔬菜,四季豆,秋季（9月-11月，农历七〜九月）的应季蔬菜有四季豆（芸豆）。,用户参考
KB0114,秋,季节,秋,蔬菜,红薯叶,秋季（9月-11月，农历七〜九月）的应季蔬菜有红薯叶。,用户参考
KB0115,秋,季节,秋,蔬菜,豆角,秋季（9月-11月，农历七〜九月）的应季蔬菜有豆角。,用户参考
KB0116,秋,季节,秋,蔬菜,扁豆,秋季（9月-11月，农历七〜九月）的应季蔬菜有扁豆。,用户参考
KB0117,秋,季节,秋,蔬菜,菜花,秋季（9月-11月，农历七〜九月）的应季蔬菜有菜花。,用户参考
KB0118,秋,季节,秋,蔬菜,胡萝卜,秋季（9月-11月，农历七〜九月）的应季蔬菜有胡萝卜。,用户参考
KB0119,秋,季节,秋,蔬菜,葱,秋季（9月-11月，农历七〜九月）的应季蔬菜有葱。,用户参考
KB0120,秋,季节,秋,蔬菜,黄瓜,秋季（9月-11月，农历七〜九月）的应季蔬菜有黄瓜。,用户参考
KB0121,秋,季节,秋,蔬菜,番茄,秋季（9月-11月，农历七〜九月）的应季蔬菜有番茄。,用户参考
KB0122,秋,季节,秋,蔬菜,茄子,秋季（9月-11月，农历七〜九月）的应季蔬菜有茄子。,用户参考
KB0123,秋,季节,秋,蔬菜,百合,秋季（9月-11月，农历七〜九月）的应季蔬菜有百合。,用户参考
KB0124,秋,季节,秋,水果汇总,秋的水果,秋季（9月-11月，农历七〜九月）的应季水果共 19 种：梨、苹果、石榴、柚子、橘子、冬枣、猕猴桃、柿子、木瓜、莲子、甘蔗、葡萄、火龙果、杨桃、番石榴、杏子、红枣、山楂、核桃。秋季润肺，这样吃抗病魔！,用户参考
KB0125,秋,季节,秋,蔬菜汇总,秋的蔬菜,秋季（9月-11月，农历七〜九月）的应季蔬菜共 24 种：白萝卜、大白菜、山药、莲藕、西兰花、娃娃菜、秋葵、茨菇、南瓜、菱角、辣椒、栗子、冬瓜、四季豆（芸豆）、红薯叶、豆角、扁豆、菜花、胡萝卜、葱、黄瓜、番茄、茄子、百合。秋季润肺，这样吃抗病魔！,用户参考
KB0126,冬,季节,冬,水果,砂糖橘,冬季（12月-2月，农历十〜十二月）的应季水果有砂糖橘。,用户参考
KB0127,冬,季节,冬,水果,橙子,冬季（12月-2月，农历十〜十二月）的应季水果有橙子。,用户参考
KB0128,冬,季节,冬,水果,沃柑,冬季（12月-2月，农历十〜十二月）的应季水果有沃柑。,用户参考
KB0129,冬,季节,冬,水果,柚子,冬季（12月-2月，农历十〜十二月）的应季水果有柚子。,用户参考
KB0130,冬,季节,冬,水果,冬枣,冬季（12月-2月，农历十〜十二月）的应季水果有冬枣。,用户参考
KB0131,冬,季节,冬,水果,雪莲果,冬季（12月-2月，农历十〜十二月）的应季水果有雪莲果。,用户参考
KB0132,冬,季节,冬,水果,甘蔗,冬季（12月-2月，农历十〜十二月）的应季水果有甘蔗。,用户参考
KB0133,冬,季节,冬,水果,橘子,冬季（12月-2月，农历十〜十二月）的应季水果有橘子。,用户参考
KB0134,冬,季节,冬,水果,青枣,冬季（12月-2月，农历十〜十二月）的应季水果有青枣。,用户参考
KB0135,冬,季节,冬,水果,释迦,冬季（12月-2月，农历十〜十二月）的应季水果有释迦。,用户参考
KB0136,冬,季节,冬,蔬菜,大白菜,冬季（12月-2月，农历十〜十二月）的应季蔬菜有大白菜。,用户参考
KB0137,冬,季节,冬,蔬菜,白萝卜,冬季（12月-2月，农历十〜十二月）的应季蔬菜有白萝卜。,用户参考
KB0138,冬,季节,冬,蔬菜,冬笋,冬季（12月-2月，农历十〜十二月）的应季蔬菜有冬笋。,用户参考
KB0139,冬,季节,冬,蔬菜,娃娃菜,冬季（12月-2月，农历十〜十二月）的应季蔬菜有娃娃菜。,用户参考
KB0140,冬,季节,冬,蔬菜,茼蒿,冬季（12月-2月，农历十〜十二月）的应季蔬菜有茼蒿。,用户参考
KB0141,冬,季节,冬,蔬菜,油麦菜,冬季（12月-2月，农历十〜十二月）的应季蔬菜有油麦菜。,用户参考
KB0142,冬,季节,冬,蔬菜,卷心菜,冬季（12月-2月，农历十〜十二月）的应季蔬菜有卷心菜。,用户参考
KB0143,冬,季节,冬,蔬菜,胡萝卜,冬季（12月-2月，农历十〜十二月）的应季蔬菜有胡萝卜。,用户参考
KB0144,冬,季节,冬,蔬菜,青椒,冬季（12月-2月，农历十〜十二月）的应季蔬菜有青椒。,用户参考
KB0145,冬,季节,冬,蔬菜,洋葱,冬季（12月-2月，农历十〜十二月）的应季蔬菜有洋葱。,用户参考
KB0146,冬,季节,冬,蔬菜,菜花,冬季（12月-2月，农历十〜十二月）的应季蔬菜有菜花。,用户参考
KB0147,冬,季节,冬,蔬菜,甜豌豆,冬季（12月-2月，农历十〜十二月）的应季蔬菜有甜豌豆。,用户参考
KB0148,冬,季节,冬,蔬菜,芹菜,冬季（12月-2月，农历十〜十二月）的应季蔬菜有芹菜。,用户参考
KB0149,冬,季节,冬,蔬菜,菠菜,冬季（12月-2月，农历十〜十二月）的应季蔬菜有菠菜。,用户参考
KB0150,冬,季节,冬,蔬菜,芥菜,冬季（12月-2月，农历十〜十二月）的应季蔬菜有芥菜。,用户参考
KB0151,冬,季节,冬,蔬菜,葵年菜,冬季（12月-2月，农历十〜十二月）的应季蔬菜有葵年菜。,用户参考
KB0152,冬,季节,冬,蔬菜,莴笋,冬季（12月-2月，农历十〜十二月）的应季蔬菜有莴笋。,用户参考
KB0153,冬,季节,冬,蔬菜,油菜,冬季（12月-2月，农历十〜十二月）的应季蔬菜有油菜。,用户参考
KB0154,冬,季节,冬,蔬菜,菜心,冬季（12月-2月，农历十〜十二月）的应季蔬菜有菜心。,用户参考
KB0155,冬,季节,冬,蔬菜,芥蓝,冬季（12月-2月，农历十〜十二月）的应季蔬菜有芥蓝。,用户参考
KB0156,冬,季节,冬,蔬菜,荸荠,冬季（12月-2月，农历十〜十二月）的应季蔬菜有荸荠。,用户参考
KB0157,冬,季节,冬,蔬菜,莲藕,冬季（12月-2月，农历十〜十二月）的应季蔬菜有莲藕。,用户参考
KB0158,冬,季节,冬,水果汇总,冬的水果,冬季（12月-2月，农历十〜十二月）的应季水果共 10 种：砂糖橘、橙子、沃柑、柚子、冬枣、雪莲果、甘蔗、橘子、青枣、释迦。冬季补肾，这样吃好体力！,用户参考
KB0159,冬,季节,冬,蔬菜汇总,冬的蔬菜,冬季（12月-2月，农历十〜十二月）的应季蔬菜共 22 种：大白菜、白萝卜、冬笋、娃娃菜、茼蒿、油麦菜、卷心菜、胡萝卜、青椒、洋葱、菜花、甜豌豆、芹菜、菠菜、芥菜、葵年菜、莴笋、油菜、菜心、芥蓝、荸荠、莲藕。冬季补肾，这样吃好体力！,用户参考
KB0160,1月,月份,冬,水果,砂糖橘,1月的应季水果有砂糖橘。,用户参考
KB0161,1月,月份,冬,水果,沃柑,1月的应季水果有沃柑。,用户参考
KB0162,1月,月份,冬,水果,赣南脐橙,1月的应季水果有赣南脐橙。,用户参考
KB0163,1月,月份,冬,水果,猕猴桃,1月的应季水果有猕猴桃。,用户参考
KB0164,1月,月份,冬,水果,山楂,1月的应季水果有山楂。,用户参考
KB0165,1月,月份,冬,水果,甘蔗,1月的应季水果有甘蔗。,用户参考
KB0166,1月,月份,冬,蔬菜,大白菜,1月的应季蔬菜有大白菜。,用户参考
KB0167,1月,月份,冬,蔬菜,小白菜,1月的应季蔬菜有小白菜。,用户参考
KB0168,1月,月份,冬,蔬菜,菠菜,1月的应季蔬菜有菠菜。,用户参考
KB0169,1月,月份,冬,蔬菜,芹菜,1月的应季蔬菜有芹菜。,用户参考
KB0170,1月,月份,冬,蔬菜,白萝卜,1月的应季蔬菜有白萝卜。,用户参考
KB0171,1月,月份,冬,蔬菜,胡萝卜,1月的应季蔬菜有胡萝卜。,用户参考
KB0172,1月,月份,冬,蔬菜,卷心菜,1月的应季蔬菜有卷心菜。,用户参考
KB0173,1月,月份,冬,蔬菜,花菜,1月的应季蔬菜有花菜。,用户参考
KB0174,1月,月份,冬,蔬菜,茨菇,1月的应季蔬菜有茨菇。,用户参考
KB0175,1月,月份,冬,蔬菜,香菇,1月的应季蔬菜有香菇。,用户参考
KB0176,1月,月份,冬,水果汇总,1月的水果,1月的应季水果共 6 种：砂糖橘、沃柑、赣南脐橙、猕猴桃、山楂、甘蔗。,用户参考
KB0177,1月,月份,冬,蔬菜汇总,1月的蔬菜,1月的应季蔬菜共 10 种：大白菜、小白菜、菠菜、芹菜、白萝卜、胡萝卜、卷心菜、花菜、茨菇、香菇。,用户参考
KB0178,2月,月份,冬,水果,砂糖橘,2月的应季水果有砂糖橘。,用户参考
KB0179,2月,月份,冬,水果,沃柑,2月的应季水果有沃柑。,用户参考
KB0180,2月,月份,冬,水果,赣南脐橙,2月的应季水果有赣南脐橙。,用户参考
KB0181,2月,月份,冬,水果,猕猴桃,2月的应季水果有猕猴桃。,用户参考
KB0182,2月,月份,冬,水果,山楂,2月的应季水果有山楂。,用户参考
KB0183,2月,月份,冬,水果,甘蔗,2月的应季水果有甘蔗。,用户参考
KB0184,2月,月份,冬,蔬菜,大白菜,2月的应季蔬菜有大白菜。,用户参考
KB0185,2月,月份,冬,蔬菜,小白菜,2月的应季蔬菜有小白菜。,用户参考
KB0186,2月,月份,冬,蔬菜,菠菜,2月的应季蔬菜有菠菜。,用户参考
KB0187,2月,月份,冬,蔬菜,芹菜,2月的应季蔬菜有芹菜。,用户参考
KB0188,2月,月份,冬,蔬菜,菜心,2月的应季蔬菜有菜心。,用户参考
KB0189,2月,月份,冬,蔬菜,卷心菜,2月的应季蔬菜有卷心菜。,用户参考
KB0190,2月,月份,冬,蔬菜,荠菜,2月的应季蔬菜有荠菜。,用户参考
KB0191,2月,月份,冬,蔬菜,生菜,2月的应季蔬菜有生菜。,用户参考
KB0192,2月,月份,冬,水果汇总,2月的水果,2月的应季水果共 6 种：砂糖橘、沃柑、赣南脐橙、猕猴桃、山楂、甘蔗。,用户参考
KB0193,2月,月份,冬,蔬菜汇总,2月的蔬菜,2月的应季蔬菜共 8 种：大白菜、小白菜、菠菜、芹菜、菜心、卷心菜、荠菜、生菜。,用户参考
KB0194,3月,月份,春,水果,草莓,3月的应季水果有草莓（尾季）。,用户参考
KB0195,3月,月份,春,水果,芒果,3月的应季水果有芒果（海南/广西早熟）。,用户参考
KB0196,3月,月份,春,水果,枇杷,3月的应季水果有枇杷。,用户参考
KB0197,3月,月份,春,水果,桑葚,3月的应季水果有桑葚。,用户参考
KB0198,3月,月份,春,水果,菠萝,3月的应季水果有菠萝。,用户参考
KB0199,3月,月份,春,蔬菜,小白菜,3月的应季蔬菜有小白菜。,用户参考
KB0200,3月,月份,春,蔬菜,菠菜,3月的应季蔬菜有菠菜。,用户参考
KB0201,3月,月份,春,蔬菜,芹菜,3月的应季蔬菜有芹菜。,用户参考
KB0202,3月,月份,春,蔬菜,菜心,3月的应季蔬菜有菜心。,用户参考
KB0203,3月,月份,春,蔬菜,韭菜,3月的应季蔬菜有韭菜。,用户参考
KB0204,3月,月份,春,蔬菜,春笋,3月的应季蔬菜有春笋。,用户参考
KB0205,3月,月份,春,蔬菜,香椿,3月的应季蔬菜有香椿。,用户参考
KB0206,3月,月份,春,蔬菜,豌豆苗,3月的应季蔬菜有豌豆苗。,用户参考
KB0207,3月,月份,春,蔬菜,蚕豆,3月的应季蔬菜有蚕豆。,用户参考
KB0208,3月,月份,春,蔬菜,荠菜,3月的应季蔬菜有荠菜。,用户参考
KB0209,3月,月份,春,蔬菜,茼蒿,3月的应季蔬菜有茼蒿。,用户参考
KB0210,3月,月份,春,水果汇总,3月的水果,3月的应季水果共 5 种：草莓（尾季）、芒果（海南/广西早熟）、枇杷、桑葚、菠萝。,用户参考
KB0211,3月,月份,春,蔬菜汇总,3月的蔬菜,3月的应季蔬菜共 11 种：小白菜、菠菜、芹菜、菜心、韭菜、春笋、香椿、豌豆苗、蚕豆、荠菜、茼蒿。,用户参考
KB0212,4月,月份,春,水果,草莓,4月的应季水果有草莓。,用户参考
KB0213,4月,月份,春,水果,枇杷,4月的应季水果有枇杷。,用户参考
KB0214,4月,月份,春,水果,芒果,4月的应季水果有芒果。,用户参考
KB0215,4月,月份,春,水果,桑葚,4月的应季水果有桑葚。,用户参考
KB0216,4月,月份,春,水果,樱桃,4月的应季水果有樱桃（早熟）。,用户参考
KB0217,4月,月份,春,蔬菜,小白菜,4月的应季蔬菜有小白菜。,用户参考
KB0218,4月,月份,春,蔬菜,莴笋,4月的应季蔬菜有莴笋。,用户参考
KB0219,4月,月份,春,蔬菜,鸡毛菜,4月的应季蔬菜有鸡毛菜。,用户参考
KB0220,4月,月份,春,蔬菜,芹菜,4月的应季蔬菜有芹菜。,用户参考
KB0221,4月,月份,春,蔬菜,春笋,4月的应季蔬菜有春笋。,用户参考
KB0222,4月,月份,春,蔬菜,香椿,4月的应季蔬菜有香椿。,用户参考
KB0223,4月,月份,春,蔬菜,韭菜,4月的应季蔬菜有韭菜。,用户参考
KB0224,4月,月份,春,蔬菜,豌豆苗,4月的应季蔬菜有豌豆苗。,用户参考
KB0225,4月,月份,春,蔬菜,蚕豆,4月的应季蔬菜有蚕豆。,用户参考
KB0226,4月,月份,春,蔬菜,荠菜,4月的应季蔬菜有荠菜。,用户参考
KB0227,4月,月份,春,水果汇总,4月的水果,4月的应季水果共 5 种：草莓、枇杷、芒果、桑葚、樱桃（早熟）。,用户参考
